Model selection results for subset: 0112dccf229b19e0a76f258d5751bb54
Subset alignment stored here: ./analysis/phylofiles/0112dccf229b19e0a76f258d5751bb54.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_CYTB_p2, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1630.41402     | 3278.82804      | 3279.24088404   | 3315.73091057  
GTR+I           | -1630.81655     | 3279.6331       | 3280.04594404   | 3316.53597057  
GTR+I+G         | -1630.41407     | 3280.82814      | 3281.33388713   | 3321.83132952  
HKY+G           | -1672.90729     | 3355.81458      | 3355.95094364   | 3376.31617476  
HKY+I+G         | -1672.89565     | 3357.7913       | 3357.98264396   | 3382.39321371  
HKY+I           | -1679.25899     | 3368.51798      | 3368.65434364   | 3389.01957476  
SYM+G           | -1715.89584     | 3443.79168      | 3443.98302396   | 3468.39359371  
SYM+I           | -1718.05539     | 3448.11078      | 3448.30212396   | 3472.71269371  
SYM+I+G         | -1715.89685     | 3445.7937       | 3446.04940776   | 3474.49593266  
GTR             | -1725.35394     | 3466.70788      | 3467.03739945   | 3499.51043162  
F81+G           | -1752.47342     | 3512.94684      | 3513.03754295   | 3529.34811581  
F81+I           | -1755.00716     | 3518.01432      | 3518.10502295   | 3534.41559581  
F81+I+G         | -1752.46157     | 3514.92314      | 3515.05950364   | 3535.42473476  
K80+G           | -1797.13555     | 3598.2711       | 3598.29818804   | 3606.4717379   
HKY             | -1793.70887     | 3595.41774      | 3595.50844295   | 3611.81901581  
K80+I+G         | -1796.95555     | 3599.9111       | 3599.96539864   | 3612.21205686  
K80+I           | -1800.28528     | 3604.57056      | 3604.59764804   | 3612.7711979   
SYM             | -1796.44486     | 3602.88972      | 3603.02608364   | 3623.39131476  
JC+G            | -1840.31247     | 3682.62494      | 3682.63394901   | 3686.72525895  
JC+I            | -1843.10502     | 3688.21004      | 3688.21904901   | 3692.31035895  
JC+I+G          | -1840.26691     | 3684.53382      | 3684.56090804   | 3692.7344579   
F81             | -1855.17544     | 3716.35088      | 3716.40517864   | 3728.65183686  
K80             | -1891.6824      | 3785.3648       | 3785.37380901   | 3789.46511895  
JC              | -1932.07054     | 3864.14108      | 3864.14108      | 3864.14108     
