Model selection results for subset: 01f551081f96fd5d4f7ad86b4d7c13cd
Subset alignment stored here: ./analysis/phylofiles/01f551081f96fd5d4f7ad86b4d7c13cd.phy
This subset contains the following data_blocks: (alineamiento_CYTB)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
TrN+G           | -1385.40913     | 2782.81826      | 2783.0154431    | 2807.24268637  
TrN+I           | -1386.32075     | 2784.6415       | 2784.8386831    | 2809.06592637  
TIM+G           | -1385.25235     | 2784.5047       | 2784.76822941   | 2812.9998641   
TrN+I+G         | -1385.4109      | 2784.8218       | 2785.08532941   | 2813.3169641   
TIM+I           | -1386.04871     | 2786.09742      | 2786.36094941   | 2814.5925841   
GTR+G           | -1381.8337      | 2781.6674       | 2782.09293191   | 2818.30403955  
TIM+I+G         | -1385.25312     | 2786.50624      | 2786.84586264   | 2819.07214182  
GTR+I           | -1382.47531     | 2782.95062      | 2783.37615191   | 2819.58725955  
GTR+I+G         | -1381.83518     | 2783.67036      | 2784.19168701   | 2824.37773728  
HKY+G           | -1404.07824     | 2818.15648      | 2818.29699522   | 2838.51016864  
HKY+I           | -1405.33921     | 2820.67842      | 2820.81893522   | 2841.03210864  
K81uf+G         | -1404.052       | 2820.104        | 2820.3011831    | 2844.52842637  
HKY+I+G         | -1404.07885     | 2820.1577       | 2820.3548831    | 2844.58212637  
K81uf+I         | -1405.3393      | 2822.6786       | 2822.8757831    | 2847.10302637  
K81uf+I+G       | -1404.0525      | 2822.105        | 2822.36852941   | 2850.6001641   
TVM+G           | -1403.32497     | 2822.64994      | 2822.98956264   | 2855.21584182  
TVM+I           | -1404.43027     | 2824.86054      | 2825.20016264   | 2857.42644182  
TVM+I+G         | -1403.32501     | 2824.65002      | 2825.07555191   | 2861.28665955  
F81+G           | -1450.36141     | 2908.72282      | 2908.81627794   | 2925.00577091  
F81+I           | -1451.34769     | 2910.69538      | 2910.78883794   | 2926.97833091  
TrN             | -1449.88207     | 2909.76414      | 2909.90465522   | 2930.11782864  
F81+I+G         | -1450.28635     | 2910.5727       | 2910.71321522   | 2930.92638864  
TIM             | -1448.52566     | 2909.05132      | 2909.2485031    | 2933.47574637  
GTR             | -1444.77263     | 2905.54526      | 2905.88488264   | 2938.11116182  
HKY             | -1473.16428     | 2954.32856      | 2954.42201794   | 2970.61151091  
K81uf           | -1471.88748     | 2953.77496      | 2953.91547522   | 2974.12864864  
TVM             | -1468.24674     | 2950.49348      | 2950.75700941   | 2978.9886441   
SYM+I           | -1485.97798     | 2983.95596      | 2984.1531431    | 3008.38038637  
SYM+G           | -1486.06321     | 2984.12642      | 2984.3236031    | 3008.55084637  
SYM+I+G         | -1486.06398     | 2986.12796      | 2986.39148941   | 3014.6231241   
TIMef+I         | -1499.09741     | 3006.19482      | 3006.28827794   | 3022.47777091  
TIMef+G         | -1499.37234     | 3006.74468      | 3006.83813794   | 3023.02763091  
TIMef+I+G       | -1499.37295     | 3008.7459       | 3008.88641522   | 3029.09958864  
TrNef+I         | -1507.50606     | 3021.01212      | 3021.06806406   | 3033.22433318  
TrNef+G         | -1507.75528     | 3021.51056      | 3021.56650406   | 3033.72277318  
F81             | -1509.00841     | 3024.01682      | 3024.07276406   | 3036.22903318  
TrNef+I+G       | -1507.75529     | 3023.51058      | 3023.60403794   | 3039.79353091  
TVMef+G         | -1524.01435     | 3058.0287       | 3058.16921522   | 3078.38238864  
TVMef+I         | -1525.09        | 3060.18         | 3060.32051522   | 3080.53368864  
TVMef+I+G       | -1523.7515      | 3059.503        | 3059.7001831    | 3083.92742637  
K81+G           | -1536.45905     | 3078.9181       | 3078.97404406   | 3091.13031318  
K81+I           | -1537.0195      | 3080.039        | 3080.09494406   | 3092.25121318  
K81+I+G         | -1536.41064     | 3080.82128      | 3080.91473794   | 3097.10423091  
K80+G           | -1544.65687     | 3093.31374      | 3093.34164698   | 3101.45521546  
SYM             | -1535.91735     | 3081.8347       | 3081.97521522   | 3102.18838864  
K80+I           | -1545.13163     | 3094.26326      | 3094.29116698   | 3102.40473546  
K80+I+G         | -1544.68936     | 3095.37872      | 3095.43466406   | 3107.59093318  
TIMef           | -1550.04308     | 3106.08616      | 3106.14210406   | 3118.29837318  
TrNef           | -1560.55386     | 3125.10772      | 3125.13562698   | 3133.24919546  
JC+G            | -1565.93765     | 3133.8753       | 3133.88458074   | 3137.94603773  
JC+I            | -1566.42191     | 3134.84382      | 3134.85310074   | 3138.91455773  
JC+I+G          | -1565.93906     | 3135.87812      | 3135.90602698   | 3144.01959546  
TVMef           | -1572.38778     | 3152.77556      | 3152.86901794   | 3169.05851091  
K81             | -1586.13281     | 3176.26562      | 3176.29352698   | 3184.40709546  
K80             | -1596.53259     | 3195.06518      | 3195.07446074   | 3199.13591773  
JC              | -1615.00456     | 3230.00912      | 3230.00912      | 3230.00912     
