Model selection results for subset: 03d96b481d2f0ae3cf1207086ee58b17
Subset alignment stored here: ./analysis/phylofiles/03d96b481d2f0ae3cf1207086ee58b17.phy
This subset contains the following data_blocks: (alineamiento_COI_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -548.31331      | 1114.62662      | 1115.8511098    | 1142.13283225  
GTR+G           | -548.53549      | 1115.07098      | 1116.2954698    | 1142.57719225  
SYM+G           | -556.56692      | 1125.13384      | 1125.69384      | 1143.47131483  
GTR+I+G         | -547.46618      | 1114.93236      | 1116.43920932   | 1145.49481805  
SYM+I           | -557.67642      | 1127.35284      | 1127.91284      | 1145.69031483  
SYM+I+G         | -555.56786      | 1125.13572      | 1125.88739785   | 1146.52944064  
HKY+G           | -566.18167      | 1142.36334      | 1142.76069099   | 1157.64456903  
HKY+I           | -566.57401      | 1143.14802      | 1143.54537099   | 1158.42924903  
HKY+I+G         | -565.16658      | 1142.33316      | 1142.89316      | 1160.67063483  
K80+G           | -578.56661      | 1161.13322      | 1161.21114208   | 1167.24571161  
K80+I           | -579.17356      | 1162.34712      | 1162.42504208   | 1168.45961161  
K80+I+G         | -577.34161      | 1160.68322      | 1160.84008275   | 1169.85195742  
F81+G           | -594.72601      | 1197.45202      | 1197.71517789   | 1209.67700322  
SYM             | -592.34426      | 1194.68852      | 1195.08587099   | 1209.96974903  
GTR             | -584.92019      | 1185.84038      | 1186.81335297   | 1210.29034644  
F81+I           | -595.19952      | 1198.39904      | 1198.66219789   | 1210.62402322  
JC+G            | -602.79594      | 1207.59188      | 1207.61768645   | 1210.64812581  
JC+I            | -603.45412      | 1208.90824      | 1208.93404645   | 1211.96448581  
F81+I+G         | -593.758        | 1197.516        | 1197.91335099   | 1212.79722903  
JC+I+G          | -601.57578      | 1207.15156      | 1207.22948208   | 1213.26405161  
HKY             | -609.82209      | 1227.64418      | 1227.90733789   | 1239.86916322  
K80             | -619.54852      | 1241.09704      | 1241.12284645   | 1244.15328581  
JC              | -643.34341      | 1286.68682      | 1286.68682      | 1286.68682     
F81             | -636.37698      | 1278.75396      | 1278.91082275   | 1287.92269742  
