Model selection results for subset: 0427ddd47e7a2f71edd7cf2acfee85d3
Subset alignment stored here: ./analysis/phylofiles/0427ddd47e7a2f71edd7cf2acfee85d3.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p1, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -999.21796      | 2016.43592      | 2017.08108129   | 2049.43376019  
GTR+G           | -999.98929      | 2017.97858      | 2018.62374129   | 2050.97642019  
GTR+I+G         | -999.99008      | 2019.98016      | 2020.77152691   | 2056.64442688  
HKY+G           | -1018.13038     | 2046.26076      | 2046.47277413   | 2064.59289344  
HKY+I           | -1018.27298     | 2046.54596      | 2046.75797413   | 2064.87809344  
HKY+I+G         | -1018.1312      | 2048.2624       | 2048.56027234   | 2070.26096013  
GTR             | -1049.29849     | 2114.59698      | 2115.11126571   | 2143.9283935   
F81+G           | -1061.48483     | 2130.96966      | 2131.11050507   | 2145.63536675  
F81+I           | -1062.61706     | 2133.23412      | 2133.37496507   | 2147.89982675  
F81+I+G         | -1061.49991     | 2132.99982      | 2133.21183413   | 2151.33195344  
HKY             | -1072.22105     | 2152.4421       | 2152.58294507   | 2167.10780675  
SYM+G           | -1096.26817     | 2204.53634      | 2204.83421234   | 2226.53490013  
SYM+I           | -1096.48738     | 2204.97476      | 2205.27263234   | 2226.97332013  
SYM+I+G         | -1096.26816     | 2206.53632      | 2206.93489651   | 2232.20130682  
F81             | -1109.11991     | 2224.23982      | 2224.32403053   | 2235.23910006  
SYM             | -1136.16704     | 2282.33408      | 2282.54609413   | 2300.66621344  
K80+G           | -1155.4433      | 2314.8866       | 2314.92855804   | 2322.21945338  
K80+I           | -1155.91146     | 2315.82292      | 2315.86487804   | 2323.15577338  
K80+I+G         | -1155.50914     | 2317.01828      | 2317.10249053   | 2328.01756006  
JC+G            | -1178.0023      | 2358.0046       | 2358.01853728   | 2361.67102669  
JC+I            | -1178.43758     | 2358.87516      | 2358.88909728   | 2362.54158669  
JC+I+G          | -1178.09575     | 2360.1915       | 2360.23345804   | 2367.52435338  
K80             | -1196.30919     | 2394.61838      | 2394.63231728   | 2398.28480669  
JC              | -1215.73613     | 2431.47226      | 2431.47226      | 2431.47226     
