Model selection results for subset: 087b1473ceb723d88dc14b23f99a2330
Subset alignment stored here: ./analysis/phylofiles/087b1473ceb723d88dc14b23f99a2330.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_COI_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -906.07427      | 1830.14854      | 1830.70238615   | 1864.47571479  
GTR+G           | -906.22585      | 1830.4517       | 1831.00554615   | 1864.77887479  
GTR+I+G         | -905.25301      | 1830.50602      | 1831.18503235   | 1868.64732532  
HKY+I           | -926.98274      | 1863.96548      | 1864.14785082   | 1883.03613266  
F81+I           | -930.74533      | 1869.49066      | 1869.61187212   | 1884.74718213  
HKY+G           | -928.42178      | 1866.84356      | 1867.02593082   | 1885.91421266  
F81+G           | -931.90016      | 1871.80032      | 1871.92153212   | 1887.05684213  
HKY+I+G         | -926.36414      | 1864.72828      | 1864.98437756   | 1887.61306319  
F81+I+G         | -930.2671       | 1870.5342       | 1870.71657082   | 1889.60485266  
SYM+G           | -944.15928      | 1900.31856      | 1900.57465756   | 1923.20334319  
SYM+I           | -944.19977      | 1900.39954      | 1900.65563756   | 1923.28432319  
SYM+I+G         | -942.67242      | 1899.34484      | 1899.68734765   | 1926.04375372  
GTR             | -942.53966      | 1901.07932      | 1901.52103779   | 1931.59236425  
F81             | -976.22636      | 1958.45272      | 1958.52522755   | 1969.8951116   
HKY             | -975.05686      | 1958.11372      | 1958.23493212   | 1973.37024213  
JC+I            | -986.39849      | 1974.79698      | 1974.80899201   | 1978.61111053  
JC+G            | -987.33647      | 1976.67294      | 1976.68495201   | 1980.48707053  
JC+I+G          | -985.45677      | 1974.91354      | 1974.94968458   | 1982.54180106  
K80+I           | -986.03217      | 1976.06434      | 1976.10048458   | 1983.69260106  
K80+G           | -986.99232      | 1977.98464      | 1978.02078458   | 1985.61290106  
K80+I+G         | -984.97735      | 1975.9547       | 1976.02720755   | 1987.3970916   
SYM             | -980.34572      | 1970.69144      | 1970.87381082   | 1989.76209266  
JC              | -1028.33196     | 2056.66392      | 2056.66392      | 2056.66392     
K80             | -1028.03218     | 2058.06436      | 2058.07637201   | 2061.87849053  
