Model selection results for subset: 0a965c514ef73f536bd5669a281f2bcc
Subset alignment stored here: ./analysis/phylofiles/0a965c514ef73f536bd5669a281f2bcc.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p1, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -922.1126       | 1862.2252       | 1862.89434498   | 1894.90610604  
GTR+G           | -928.77366      | 1875.54732      | 1876.21646498   | 1908.22822604  
GTR+I+G         | -928.77617      | 1877.55234      | 1878.37323552   | 1913.86445782  
HKY+I           | -967.83519      | 1945.67038      | 1945.89016022   | 1963.82643891  
HKY+G           | -968.51381      | 1947.02762      | 1947.24740022   | 1965.18367891  
HKY+I+G         | -968.5147       | 1949.0294       | 1949.33822353   | 1970.81667069  
SYM+I           | -987.15568      | 1986.31136      | 1986.62018353   | 2008.09863069  
SYM+G           | -990.27734      | 1992.55468      | 1992.86350353   | 2014.34195069  
SYM+I+G         | -990.27836      | 1994.55672      | 1994.97000413   | 2019.97520247  
F81+I           | -1022.48386     | 2052.96772      | 2053.1137054    | 2067.49256713  
F81+G           | -1023.01918     | 2054.03836      | 2054.1843454    | 2068.56320713  
F81+I+G         | -1023.0194      | 2056.0388       | 2056.25858022   | 2074.19485891  
GTR             | -1019.37085     | 2054.7417       | 2055.27503333   | 2083.79139425  
K80+I           | -1052.22288     | 2108.44576      | 2108.48923826   | 2115.70818356  
K80+G           | -1052.70799     | 2109.41598      | 2109.45945826   | 2116.67840356  
K80+I+G         | -1052.70819     | 2111.41638      | 2111.50365273   | 2122.31001535  
SYM             | -1056.16813     | 2122.33626      | 2122.55604022   | 2140.49231891  
JC+I            | -1076.70027     | 2155.40054      | 2155.41498043   | 2159.03175178  
JC+G            | -1077.23975     | 2156.4795       | 2156.49394043   | 2160.11071178  
JC+I+G          | -1077.24026     | 2158.48052      | 2158.52399826   | 2165.74294356  
HKY             | -1097.63284     | 2203.26568      | 2203.4116654    | 2217.79052713  
F81             | -1126.1289      | 2258.2578       | 2258.34507273   | 2269.15143535  
K80             | -1145.184       | 2292.368        | 2292.38244043   | 2295.99921178  
JC              | -1165.07832     | 2330.15664      | 2330.15664      | 2330.15664     
