Model selection results for subset: 0bef21be7609b5eed72b71db8bdeef87
Subset alignment stored here: ./analysis/phylofiles/0bef21be7609b5eed72b71db8bdeef87.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_WG_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -981.00047      | 1980.00094      | 1980.59696649   | 2013.68796869  
GTR+I           | -981.49355      | 1980.9871       | 1981.58312649   | 2014.67412869  
GTR+I+G         | -979.18833      | 1978.37666      | 1979.10755701   | 2015.80669188  
HKY+I+G         | -999.61782      | 2011.23564      | 2011.51104984   | 2033.69365913  
HKY+G           | -1002.51453     | 2015.02906      | 2015.22513843   | 2033.74407594  
HKY+I           | -1002.66773     | 2015.33546      | 2015.53153843   | 2034.05047594  
F81+I           | -1007.28695     | 2022.5739       | 2022.70419316   | 2037.54591275  
F81+G           | -1007.32166     | 2022.64332      | 2022.77361316   | 2037.61533275  
F81+I+G         | -1005.43204     | 2020.86408      | 2021.06015843   | 2039.57909594  
SYM+I+G         | -1016.81505     | 2047.6301       | 2047.99852105   | 2073.83112231  
SYM+G           | -1019.76283     | 2051.52566      | 2051.80106984   | 2073.98367913  
SYM+I           | -1020.7412      | 2053.4824       | 2053.75780984   | 2075.94041913  
JC+I            | -1060.67773     | 2123.35546      | 2123.36836323   | 2127.09846319  
JC+G            | -1060.72681     | 2123.45362      | 2123.46652323   | 2127.19662319  
JC+I+G          | -1059.24478     | 2122.48956      | 2122.52839495   | 2129.97556638  
K80+I           | -1059.59057     | 2123.18114      | 2123.21997495   | 2130.66714638  
K80+G           | -1059.63446     | 2123.26892      | 2123.30775495   | 2130.75492638  
K80+I+G         | -1057.87977     | 2121.75954      | 2121.83746208   | 2132.98854956  
GTR             | -1044.0874      | 2104.1748       | 2104.65004752   | 2134.1188255   
HKY             | -1066.45102     | 2140.90204      | 2141.03233316   | 2155.87405275  
F81             | -1069.5617      | 2145.1234       | 2145.20132208   | 2156.35240956  
SYM             | -1078.69866     | 2167.39732      | 2167.59339843   | 2186.11233594  
JC              | -1119.53644     | 2239.07288      | 2239.07288      | 2239.07288     
K80             | -1118.52349     | 2239.04698      | 2239.05988323   | 2242.78998319  
