Model selection results for subset: 10347a05d5ca35bec299925aed4e2b88
Subset alignment stored here: ./analysis/phylofiles/10347a05d5ca35bec299925aed4e2b88.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_COI_p2, alineamiento_CYTB_p3, alineamiento_COI_p3, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+I           | -1877.22773     | 3764.45546      | 3764.53753934   | 3787.46839946  
HKY+I+G         | -1875.30063     | 3762.60126      | 3762.71632849   | 3790.21678735  
GTR+I           | -1867.31608     | 3752.63216      | 3752.87975285   | 3794.05545103  
GTR+I+G         | -1865.69591     | 3751.39182      | 3751.6948503    | 3797.41769892  
HKY+G           | -1882.31384     | 3774.62768      | 3774.70975934   | 3797.64061946  
GTR+G           | -1871.44654     | 3760.89308      | 3761.14067285   | 3802.31637103  
F81+I           | -1916.18782     | 3840.37564      | 3840.43028481   | 3858.78599157  
F81+I+G         | -1913.84394     | 3837.68788      | 3837.76995934   | 3860.70081946  
F81+G           | -1921.60598     | 3851.21196      | 3851.26660481   | 3869.62231157  
SYM+I           | -1915.20188     | 3842.40376      | 3842.51882849   | 3870.01928735  
SYM+I+G         | -1912.60855     | 3839.2171       | 3839.37073512   | 3871.43521525  
SYM+G           | -1919.4156      | 3850.8312       | 3850.94626849   | 3878.44672735  
K80+I           | -1939.2315      | 3882.463        | 3882.47934877   | 3891.66817578  
K80+I+G         | -1936.95581     | 3879.91162      | 3879.94436216   | 3893.71938368  
K80+G           | -1944.61482     | 3893.22964      | 3893.24598877   | 3902.43481578  
JC+I            | -1976.43467     | 3954.86934      | 3954.87478218   | 3959.47192789  
JC+I+G          | -1974.5608      | 3953.1216       | 3953.13794877   | 3962.32677578  
HKY             | -1968.62828     | 3945.25656      | 3945.31120481   | 3963.66691157  
GTR             | -1956.75112     | 3929.50224      | 3929.7000422    | 3966.32294314  
JC+G            | -1981.54561     | 3965.09122      | 3965.09666218   | 3969.69380789  
F81             | -2005.41029     | 4016.82058      | 4016.85332216   | 4030.62834368  
SYM             | -2003.23072     | 4016.46144      | 4016.54351934   | 4039.47437946  
K80             | -2026.89523     | 4055.79046      | 4055.79590218   | 4060.39304789  
JC              | -2062.38101     | 4124.76202      | 4124.76202      | 4124.76202     
