Model selection results for subset: 11263d43b31cd824ed5caa1a5ce5f50c
Subset alignment stored here: ./analysis/phylofiles/11263d43b31cd824ed5caa1a5ce5f50c.phy
This subset contains the following data_blocks: (alineamiento_16S_p1, alineamiento_COI_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -878.4556       | 1776.9112       | 1777.59021235   | 1815.05250532  
GTR+I           | -882.92475      | 1783.8495       | 1784.40334615   | 1818.17667479  
GTR+G           | -886.66607      | 1791.33214      | 1791.88598615   | 1825.65931479  
F81+I+G         | -898.49389      | 1806.98778      | 1807.17015082   | 1826.05843266  
HKY+I+G         | -897.02774      | 1806.05548      | 1806.31157756   | 1828.94026319  
F81+I           | -903.28834      | 1814.57668      | 1814.69789212   | 1829.83320213  
HKY+I           | -902.07333      | 1814.14666      | 1814.32903082   | 1833.21731266  
F81+G           | -909.4218       | 1826.8436       | 1826.96481212   | 1842.10012213  
HKY+G           | -908.55637      | 1827.11274      | 1827.29511082   | 1846.18339266  
SYM+I+G         | -922.01869      | 1858.03738      | 1858.37988765   | 1884.73629372  
SYM+I           | -925.52123      | 1863.04246      | 1863.29855756   | 1885.92724319  
SYM+G           | -927.71032      | 1867.42064      | 1867.67673756   | 1890.30542319  
JC+I+G          | -960.20699      | 1924.41398      | 1924.45012458   | 1932.04224106  
JC+I            | -963.82493      | 1929.64986      | 1929.66187201   | 1933.46399053  
GTR             | -944.52149      | 1905.04298      | 1905.48469779   | 1935.55602425  
K80+I+G         | -960.10608      | 1926.21216      | 1926.28466755   | 1937.6545516   
K80+I           | -963.60509      | 1931.21018      | 1931.24632458   | 1938.83844106  
JC+G            | -969.20026      | 1940.40052      | 1940.41253201   | 1944.21465053  
K80+G           | -968.94483      | 1941.88966      | 1941.92580458   | 1949.51792106  
F81             | -974.21265      | 1954.4253       | 1954.49780755   | 1965.8676916   
HKY             | -974.19084      | 1956.38168      | 1956.50289212   | 1971.63820213  
SYM             | -983.3989       | 1976.7978       | 1976.98017082   | 1995.86845266  
JC              | -1028.92188     | 2057.84376      | 2057.84376      | 2057.84376     
K80             | -1028.54003     | 2059.08006      | 2059.09207201   | 2062.89419053  
