Model selection results for subset: 1407de035b652d9fd244dd16b427e355
Subset alignment stored here: ./analysis/phylofiles/1407de035b652d9fd244dd16b427e355.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_WG_p3, alineamiento_CYTB_p2, alineamiento_WG_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -1347.27772     | 2712.55544      | 2712.87744358   | 2751.65036391  
GTR+I+G         | -1346.79832     | 2713.59664      | 2713.99090523   | 2757.03544434  
GTR+G           | -1353.27982     | 2724.55964      | 2724.88164358   | 2763.65456391  
SYM+I           | -1362.98993     | 2737.97986      | 2738.12932619   | 2764.0431426   
SYM+I+G         | -1360.99901     | 2735.99802      | 2736.19766349   | 2766.40518304  
SYM+G           | -1368.94739     | 2749.89478      | 2750.04424619   | 2775.9580626   
HKY+I           | -1374.09584     | 2758.19168      | 2758.29825194   | 2779.91108217  
HKY+I+G         | -1373.00269     | 2758.00538      | 2758.15484619   | 2784.0686626   
K80+I           | -1390.52499     | 2785.04998      | 2785.07118141   | 2793.73774087  
K80+I+G         | -1389.22228     | 2784.44456      | 2784.48703788   | 2797.4762013   
HKY+G           | -1388.44308     | 2786.88616      | 2786.99273194   | 2808.60556217  
K80+G           | -1403.23155     | 2810.4631       | 2810.48430141   | 2819.15086087  
F81+I           | -1397.56902     | 2803.13804      | 2803.20896199   | 2820.51356174  
F81+I+G         | -1396.64775     | 2803.2955       | 2803.40207194   | 2825.01490217  
JC+I            | -1409.53714     | 2821.07428      | 2821.08133467   | 2825.41816043  
JC+I+G          | -1408.13868     | 2820.27736      | 2820.29856141   | 2828.96512087  
F81+G           | -1410.65757     | 2829.31514      | 2829.38606199   | 2846.69066174  
JC+G            | -1422.32481     | 2846.64962      | 2846.65667467   | 2850.99350043  
GTR             | -1424.56334     | 2865.12668      | 2865.38382286   | 2899.87772347  
SYM             | -1437.23228     | 2884.46456      | 2884.57113194   | 2906.18396217  
HKY             | -1461.91852     | 2931.83704      | 2931.90796199   | 2949.21256174  
K80             | -1473.16533     | 2948.33066      | 2948.33771467   | 2952.67454043  
F81             | -1480.77032     | 2967.54064      | 2967.58311788   | 2980.5722813   
JC              | -1491.6493      | 2983.2986       | 2983.2986       | 2983.2986      
