Model selection results for subset: 1732b3c4daf79723bff20293ed3f289e
Subset alignment stored here: ./analysis/phylofiles/1732b3c4daf79723bff20293ed3f289e.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_WG_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -995.14678      | 2008.29356      | 2008.88761941   | 2042.00938871  
GTR+I           | -996.00073      | 2010.00146      | 2010.59551941   | 2043.71728871  
GTR+I+G         | -994.28579      | 2008.57158      | 2009.30005682   | 2046.03361191  
HKY+G           | -1013.3672      | 2036.7344       | 2036.92983974   | 2055.46541595  
HKY+I           | -1013.93257     | 2037.86514      | 2038.06057974   | 2056.59615595  
HKY+I+G         | -1012.90667     | 2037.81334      | 2038.0878498    | 2060.29055914  
F81+G           | -1019.87395     | 2047.7479       | 2047.87777013   | 2062.73271276  
F81+I           | -1020.26176     | 2048.52352      | 2048.65339013   | 2063.50833276  
F81+I+G         | -1019.70681     | 2049.41362      | 2049.60905974   | 2068.14463595  
SYM+G           | -1027.78031     | 2067.56062      | 2067.8351298    | 2090.03783914  
SYM+I+G         | -1026.36086     | 2066.72172      | 2067.08893311   | 2092.94514233  
SYM+I           | -1029.30592     | 2070.61184      | 2070.8863498    | 2093.08905914  
GTR             | -1028.43319     | 2072.86638      | 2073.34006421   | 2102.83600552  
HKY             | -1049.43515     | 2106.8703       | 2107.00017013   | 2121.85511276  
F81             | -1054.62888     | 2115.25776      | 2115.3354299    | 2126.49636957  
JC+G            | -1070.27488     | 2142.54976      | 2142.56262174   | 2146.29596319  
K80+G           | -1067.59276     | 2139.18552      | 2139.22422968   | 2146.67792638  
JC+I            | -1070.83455     | 2143.6691       | 2143.68196174   | 2147.41530319  
K80+I           | -1068.241       | 2140.482        | 2140.52070968   | 2147.97440638  
JC+I+G          | -1069.9203      | 2143.8406       | 2143.87930968   | 2151.33300638  
K80+I+G         | -1067.07257     | 2140.14514      | 2140.2228099    | 2151.38374957  
SYM             | -1062.07824     | 2134.15648      | 2134.35191974   | 2152.88749595  
JC              | -1103.86238     | 2207.72476      | 2207.72476      | 2207.72476     
K80             | -1101.33787     | 2204.67574      | 2204.68860174   | 2208.42194319  
