Model selection results for subset: 19c218775fb27983221f5a63c478f860
Subset alignment stored here: ./analysis/phylofiles/19c218775fb27983221f5a63c478f860.phy
This subset contains the following data_blocks: (alineamiento_16S_p1, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+I+G         | -911.79805      | 1833.5961       | 1833.78597342   | 1852.46885773  
F81+G           | -915.31488      | 1838.62976      | 1838.75594297   | 1853.72796618  
F81+I           | -915.59925      | 1839.1985       | 1839.32468297   | 1854.29670618  
HKY+I+G         | -911.35455      | 1834.7091       | 1834.97576667   | 1857.35640927  
HKY+G           | -915.07384      | 1840.14768      | 1840.33755342   | 1859.02043773  
HKY+I           | -915.34906      | 1840.69812      | 1840.88799342   | 1859.57087773  
GTR+G           | -904.66328      | 1827.32656      | 1827.90348308   | 1861.29752391  
GTR+I+G         | -901.83477      | 1823.66954      | 1824.3769355    | 1861.41505546  
GTR+I           | -905.48441      | 1828.96882      | 1829.54574308   | 1862.93978391  
F81             | -963.53722      | 1933.07444      | 1933.1499117    | 1944.39809464  
GTR             | -949.76993      | 1915.53986      | 1915.9999239    | 1945.73627236  
HKY             | -963.52539      | 1935.05078      | 1935.17696297   | 1950.14898618  
SYM+G           | -960.58173      | 1933.16346      | 1933.43012667   | 1955.81076927  
SYM+I+G         | -958.28588      | 1930.57176      | 1930.9284479    | 1956.99362082  
SYM+I           | -961.84139      | 1935.68278      | 1935.94944667   | 1958.33008927  
JC+G            | -992.77403      | 1987.54806      | 1987.56056      | 1991.32261155  
JC+I+G          | -990.02801      | 1984.05602      | 1984.09363755   | 1991.60512309  
JC+I            | -993.11161      | 1988.22322      | 1988.23572      | 1991.99777155  
K80+G           | -991.51809      | 1987.03618      | 1987.07379755   | 1994.58528309  
K80+I           | -991.83364      | 1987.66728      | 1987.70489755   | 1995.21638309  
K80+I+G         | -989.00118      | 1984.00236      | 1984.0778317    | 1995.32601464  
SYM             | -1003.92007     | 2017.84014      | 2018.03001342   | 2036.71289773  
JC              | -1037.80546     | 2075.61092      | 2075.61092      | 2075.61092     
K80             | -1036.32649     | 2074.65298      | 2074.66548      | 2078.42753155  
