Model selection results for subset: 1ddc066e558afb4241af41a072d64578
Subset alignment stored here: ./analysis/phylofiles/1ddc066e558afb4241af41a072d64578.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+I           | -732.33728      | 1474.67456      | 1474.89434022   | 1492.83061891  
HKY+G           | -732.37668      | 1474.75336      | 1474.97314022   | 1492.90941891  
HKY+I+G         | -731.82047      | 1475.64094      | 1475.94976353   | 1497.42821069  
F81+I           | -743.39507      | 1494.79014      | 1494.9361254    | 1509.31498713  
F81+G           | -743.4374       | 1494.8748       | 1495.0207854    | 1509.39964713  
GTR+I           | -730.00867      | 1478.01734      | 1478.68648498   | 1510.69824604  
GTR+G           | -730.09026      | 1478.18052      | 1478.84966498   | 1510.86142604  
K80+I           | -750.66294      | 1505.32588      | 1505.36935826   | 1512.58830356  
K80+G           | -750.73032      | 1505.46064      | 1505.50411826   | 1512.72306356  
F81+I+G         | -743.21087      | 1496.42174      | 1496.64152022   | 1514.57779891  
GTR+I+G         | -729.48423      | 1478.96846      | 1479.78935552   | 1515.28057782  
K80+I+G         | -750.40041      | 1506.80082      | 1506.88809273   | 1517.69445535  
HKY             | -750.48293      | 1508.96586      | 1509.1118454    | 1523.49070713  
SYM+I           | -744.93762      | 1501.87524      | 1502.18406353   | 1523.66251069  
SYM+G           | -745.0412       | 1502.0824       | 1502.39122353   | 1523.86967069  
JC+I            | -760.1049       | 1522.2098       | 1522.22424043   | 1525.84101178  
JC+G            | -760.15731      | 1522.31462      | 1522.32906043   | 1525.94583178  
SYM+I+G         | -744.45494      | 1502.90988      | 1503.32316413   | 1528.32836247  
JC+I+G          | -759.97156      | 1523.94312      | 1523.98659826   | 1531.20554356  
F81             | -761.07244      | 1528.14488      | 1528.23215273   | 1539.03851535  
GTR             | -747.98512      | 1511.97024      | 1512.50357333   | 1541.01993425  
K80             | -768.47082      | 1538.94164      | 1538.95608043   | 1542.57285178  
SYM             | -763.23722      | 1536.47444      | 1536.69422022   | 1554.63049891  
JC              | -777.74926      | 1555.49852      | 1555.49852      | 1555.49852     
