Model selection results for subset: 223c498914a3e8246d83da2b37e92d99
Subset alignment stored here: ./analysis/phylofiles/223c498914a3e8246d83da2b37e92d99.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_16S_p1, alineamiento_COI_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -1480.44608     | 2980.89216      | 2981.33128176   | 3023.27540625  
GTR+I           | -1483.95374     | 2985.90748      | 2986.26604574   | 3024.05240163  
GTR+G           | -1485.25474     | 2988.50948      | 2988.86804574   | 3026.65440163  
F81+I+G         | -1517.45178     | 3044.90356      | 3045.02213708   | 3066.09518313  
HKY+I+G         | -1514.78236     | 3041.56472      | 3041.73105663   | 3066.99466775  
F81+I           | -1522.77208     | 3053.54416      | 3053.62305546   | 3070.4974585   
HKY+I           | -1520.48418     | 3050.96836      | 3051.08693708   | 3072.15998313  
F81+G           | -1526.1208      | 3060.2416       | 3060.32049546   | 3077.1948985   
HKY+G           | -1523.95867     | 3057.91734      | 3058.03591708   | 3079.10896313  
SYM+I+G         | -1562.77167     | 3139.54334      | 3139.76556222   | 3169.21161238  
SYM+I           | -1567.9198      | 3147.8396       | 3148.00593663   | 3173.26954775  
SYM+G           | -1567.9805      | 3147.961        | 3148.12733663   | 3173.39094775  
GTR             | -1600.00912     | 3216.01824      | 3216.30452231   | 3249.924837    
JC+I+G          | -1642.0132      | 3288.0264       | 3288.04997564   | 3296.50304925  
JC+I            | -1646.67989     | 3295.35978      | 3295.36762314   | 3299.59810463  
K80+I+G         | -1641.2294      | 3288.4588       | 3288.50604409   | 3301.17377388  
K80+I           | -1645.61924     | 3295.23848      | 3295.26205564   | 3303.71512925  
JC+G            | -1649.46743     | 3300.93486      | 3300.94270314   | 3305.17318463  
K80+G           | -1648.37537     | 3300.75074      | 3300.77431564   | 3309.22738925  
F81             | -1652.79377     | 3311.58754      | 3311.63478409   | 3324.30251388  
HKY             | -1652.79271     | 3313.58542      | 3313.66431546   | 3330.5387185   
SYM             | -1672.2178      | 3354.4356       | 3354.55417708   | 3375.62722313  
JC              | -1763.3415      | 3526.683        | 3526.683        | 3526.683       
K80             | -1761.98096     | 3525.96192      | 3525.96976314   | 3530.20024463  
