Model selection results for subset: 23233cf740aeb83cf0ec1a57d05eb9ea
Subset alignment stored here: ./analysis/phylofiles/23233cf740aeb83cf0ec1a57d05eb9ea.phy
This subset contains the following data_blocks: (alineamiento_COI_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+I           | -244.32793      | 498.65586       | 499.053210993   | 513.937089027  
HKY+I+G         | -243.56586      | 499.13172       | 499.69172       | 517.469194832  
F81+I           | -251.24117      | 510.48234       | 510.745497895   | 522.707323221  
HKY+G           | -249.49883      | 508.99766       | 509.395010993   | 524.278889027  
F81+I+G         | -250.46401      | 510.92802       | 511.325370993   | 526.209249027  
HKY             | -253.83379      | 515.66758       | 515.930737895   | 527.892563221  
GTR+I           | -243.11121      | 504.22242       | 505.446909796   | 531.728632248  
F81+G           | -256.72786      | 521.45572       | 521.718877895   | 533.680703221  
GTR+I+G         | -242.58116      | 505.16232       | 506.669169315   | 535.724778053  
F81             | -260.97511      | 527.95022       | 528.107082745   | 537.118957416  
K80+I           | -264.67328      | 533.34656       | 533.424482078   | 539.459051611  
GTR+G           | -248.13064      | 514.26128       | 515.485769796   | 541.767492248  
K80+I+G         | -263.96462      | 533.92924       | 534.086102745   | 543.097977416  
GTR             | -252.78609      | 521.57218       | 522.545152973   | 546.022146443  
K80+G           | -269.65727      | 543.31454       | 543.392462078   | 549.427031611  
K80             | -273.81461      | 549.62922       | 549.655026452   | 552.685465805  
JC+I            | -275.02654      | 552.05308       | 552.078886452   | 555.109325805  
SYM+I           | -262.99327      | 537.98654       | 538.54654       | 556.324014832  
JC+I+G          | -274.8028       | 553.6056        | 553.683522078   | 559.718091611  
SYM+I+G         | -262.28542      | 538.57084       | 539.322517852   | 559.964560637  
JC+G            | -278.56883      | 559.13766       | 559.163466452   | 562.193905805  
SYM+G           | -266.99675      | 545.9935        | 546.5535        | 564.330974832  
JC              | -282.62658      | 565.25316       | 565.25316       | 565.25316      
SYM             | -271.16477      | 552.32954       | 552.726890993   | 567.610769027  
