Model selection results for subset: 23a72be0d8fe1e352f8b8eb148302d2d
Subset alignment stored here: ./analysis/phylofiles/23a72be0d8fe1e352f8b8eb148302d2d.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+I           | -924.81367      | 1857.62734      | 1857.75392228   | 1872.71310449  
F81+G           | -924.98822      | 1857.97644      | 1858.10302228   | 1873.06220449  
HKY+I           | -923.64012      | 1857.28024      | 1857.47071619   | 1876.13744562  
GTR+G           | -912.15629      | 1842.31258      | 1842.89135814   | 1876.25555011  
GTR+I           | -912.18082      | 1842.36164      | 1842.94041814   | 1876.30461011  
HKY+G           | -923.8458       | 1857.6916       | 1857.88207619   | 1876.54880562  
F81+I+G         | -923.85438      | 1857.70876      | 1857.89923619   | 1876.56596562  
HKY+I+G         | -922.55156      | 1857.10312      | 1857.37063592   | 1879.73176674  
GTR+I+G         | -911.69233      | 1843.38466      | 1844.09433742   | 1881.09907123  
SYM+G           | -969.49717      | 1950.99434      | 1951.26185592   | 1973.62298674  
GTR             | -963.96222      | 1943.92444      | 1944.38597846   | 1974.09596899  
SYM+I           | -969.98944      | 1951.97888      | 1952.24639592   | 1974.60752674  
F81             | -978.80259      | 1963.60518      | 1963.68088978   | 1974.91950337  
SYM+I+G         | -968.02281      | 1950.04562      | 1950.40344748   | 1976.44570786  
HKY             | -978.5965       | 1965.193        | 1965.31958228   | 1980.27876449  
JC+I            | -1000.92342     | 2003.84684      | 2003.85937918   | 2007.61828112  
JC+G            | -1001.06959     | 2004.13918      | 2004.15171918   | 2007.91062112  
JC+I+G          | -999.96957      | 2003.93914      | 2003.97687585   | 2011.48202225  
K80+I           | -1000.51095     | 2005.0219       | 2005.05963585   | 2012.56478225  
K80+G           | -1000.65073     | 2005.30146      | 2005.33919585   | 2012.84434225  
K80+I+G         | -999.59843      | 2005.19686      | 2005.27256978   | 2016.51118337  
SYM             | -1018.23325     | 2046.4665       | 2046.65697619   | 2065.32370562  
JC              | -1052.19506     | 2104.39012      | 2104.39012      | 2104.39012     
K80             | -1051.66928     | 2105.33856      | 2105.35109918   | 2109.11000112  
