Model selection results for subset: 256e41a9d0b8ef8ea03e5986199cad8d
Subset alignment stored here: ./analysis/phylofiles/256e41a9d0b8ef8ea03e5986199cad8d.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p2, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+I           | -568.06151      | 1144.12302      | 1144.26954015   | 1158.63350445  
HKY+I           | -566.90403      | 1143.80806      | 1144.02864824   | 1161.94616557  
F81+I+G         | -568.06497      | 1146.12994      | 1146.35052824   | 1164.26804557  
HKY+I+G         | -566.8927       | 1145.7854       | 1146.0953631    | 1167.55112668  
F81+G           | -575.12285      | 1158.2457       | 1158.39222015   | 1172.75618445  
JC+I            | -585.12758      | 1172.25516      | 1172.26965275   | 1175.88278111  
GTR+I           | -563.03001      | 1144.06002      | 1144.73166179   | 1176.70861002  
HKY+G           | -574.2903       | 1158.5806       | 1158.80118824   | 1176.71870557  
K80+I           | -584.54107      | 1173.08214      | 1173.12577636   | 1180.33738223  
JC+I+G          | -585.12436      | 1174.24872      | 1174.29235636   | 1181.50396223  
GTR+I+G         | -563.02687      | 1146.05374      | 1146.87771004   | 1182.32995114  
K80+I+G         | -584.53652      | 1175.07304      | 1175.16063124   | 1185.95590334  
JC+G            | -591.4802       | 1184.9604       | 1184.97489275   | 1188.58802111  
GTR+G           | -569.00952      | 1156.01904      | 1156.69068179   | 1188.66763002  
SYM+I           | -578.00058      | 1168.00116      | 1168.3111231    | 1189.76688668  
F81             | -588.07944      | 1182.15888      | 1182.24647124   | 1193.04174334  
K80+G           | -590.90953      | 1185.81906      | 1185.86269636   | 1193.07430223  
SYM+I+G         | -577.99481      | 1169.98962      | 1170.40443481   | 1195.3829678   
HKY             | -587.41656      | 1182.83312      | 1182.97964015   | 1197.34360445  
SYM+G           | -583.16884      | 1178.33768      | 1178.6476431    | 1200.10340668  
JC              | -604.00201      | 1208.00402      | 1208.00402      | 1208.00402     
GTR             | -581.87014      | 1179.74028      | 1180.27559599   | 1208.76124891  
K80             | -603.43613      | 1208.87226      | 1208.88675275   | 1212.49988111  
SYM             | -595.84301      | 1201.68602      | 1201.90660824   | 1219.82412557  
