Model selection results for subset: 29c6bb752fab719f2ffcd61c2f4404ed
Subset alignment stored here: ./analysis/phylofiles/29c6bb752fab719f2ffcd61c2f4404ed.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_16S_p1, alineamiento_COI_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1777.49138     | 3572.98276      | 3573.34132574   | 3611.12768163  
GTR+I+G         | -1775.39302     | 3570.78604      | 3571.22516176   | 3613.16928625  
GTR+I           | -1780.01835     | 3578.0367       | 3578.39526574   | 3616.18162163  
HKY+I+G         | -1795.05492     | 3602.10984      | 3602.27617663   | 3627.53978775  
HKY+G           | -1798.65475     | 3607.3095       | 3607.42807708   | 3628.50112313  
HKY+I           | -1802.2459      | 3614.4918       | 3614.61037708   | 3635.68342313  
F81+G           | -1813.47974     | 3634.95948      | 3635.03837546   | 3651.9127785   
F81+I+G         | -1811.26298     | 3632.52596      | 3632.64453708   | 3653.71758313  
F81+I           | -1816.02546     | 3640.05092      | 3640.12981546   | 3657.0042185   
SYM+I+G         | -1867.77404     | 3749.54808      | 3749.77030222   | 3779.21635238  
SYM+G           | -1871.45767     | 3754.91534      | 3755.08167663   | 3780.34528775  
SYM+I           | -1875.62944     | 3763.25888      | 3763.42521663   | 3788.68882775  
GTR             | -1915.98688     | 3847.97376      | 3848.26004231   | 3881.880357    
JC+G            | -1950.23269     | 3902.46538      | 3902.47322314   | 3906.70370463  
JC+I+G          | -1947.20049     | 3898.40098      | 3898.42455564   | 3906.87762925  
K80+I+G         | -1945.02938     | 3896.05876      | 3896.10600409   | 3908.77373388  
K80+G           | -1948.28898     | 3900.57796      | 3900.60153564   | 3909.05460925  
JC+I            | -1953.02272     | 3908.04544      | 3908.05328314   | 3912.28376463  
K80+I           | -1951.13768     | 3906.27536      | 3906.29893564   | 3914.75200925  
HKY             | -1946.52407     | 3901.04814      | 3901.12703546   | 3918.0014385   
F81             | -1955.69983     | 3917.39966      | 3917.44690409   | 3930.11463388  
SYM             | -1998.37071     | 4006.74142      | 4006.85999708   | 4027.93304313  
JC              | -2079.39249     | 4158.78498      | 4158.78498      | 4158.78498     
K80             | -2077.60504     | 4157.21008      | 4157.21792314   | 4161.44840463  
