Model selection results for subset: 2a120327ba01538d6a36b3218d9d68fc
Subset alignment stored here: ./analysis/phylofiles/2a120327ba01538d6a36b3218d9d68fc.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_CYTB_p1, alineamiento_16S_p1, alineamiento_COI_p1, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -3786.6749      | 7593.3498       | 7593.61646667   | 7640.63608613  
GTR+G           | -3798.16858     | 7614.33716      | 7614.55507768   | 7656.89481752  
GTR+I           | -3798.96074     | 7615.92148      | 7616.13939768   | 7658.47913752  
HKY+I+G         | -3842.92865     | 7697.8573       | 7697.9586269    | 7726.22907168  
HKY+G           | -3848.49857     | 7706.99714      | 7707.06942916   | 7730.64028307  
HKY+I           | -3866.08972     | 7742.17944      | 7742.25172916   | 7765.82258307  
F81+G           | -3979.75548     | 7967.51096      | 7967.55909478   | 7986.42547445  
F81+I+G         | -3980.42977     | 7970.85954      | 7970.93182916   | 7994.50268307  
F81+I           | -3993.44814     | 7994.89628      | 7994.94441478   | 8013.81079445  
GTR             | -4083.07467     | 8182.14934      | 8182.32346334   | 8219.9783689   
SYM+I+G         | -4138.33441     | 8290.66882      | 8290.8040857    | 8323.76922029  
SYM+G           | -4143.33417     | 8298.66834      | 8298.7696669    | 8327.04011168  
SYM+I           | -4157.99955     | 8327.9991       | 8328.1004269    | 8356.37087168  
HKY             | -4171.88045     | 8351.7609       | 8351.80903478   | 8370.67541445  
F81             | -4245.37409     | 8496.74818      | 8496.77702615   | 8510.93406584  
K80+G           | -4347.69193     | 8699.38386      | 8699.39826576   | 8708.84111723  
K80+I+G         | -4346.51871     | 8699.03742      | 8699.06626615   | 8713.22330584  
JC+G            | -4357.75896     | 8717.51792      | 8717.52271616   | 8722.24654861  
JC+I+G          | -4356.79085     | 8717.5817       | 8717.59610576   | 8727.03895723  
K80+I           | -4366.28164     | 8736.56328      | 8736.57768576   | 8746.02053723  
SYM             | -4356.67077     | 8723.34154      | 8723.41382916   | 8746.98468307  
JC+I            | -4374.9938      | 8751.9876       | 8751.99239616   | 8756.71622861  
K80             | -4572.50927     | 9147.01854      | 9147.02333616   | 9151.74716861  
JC              | -4578.80684     | 9157.61368      | 9157.61368      | 9157.61368     
