Model selection results for subset: 2b053d7f1fb526c4374748fffd2d90bc
Subset alignment stored here: ./analysis/phylofiles/2b053d7f1fb526c4374748fffd2d90bc.phy
This subset contains the following data_blocks: (alineamiento_16S_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -580.71483      | 1179.42966      | 1180.50108857   | 1208.06571195  
F81+G           | -595.20617      | 1198.41234      | 1198.64355387   | 1211.1394742   
GTR+I           | -582.75646      | 1183.51292      | 1184.58434857   | 1212.14897195  
GTR+I+G         | -580.21849      | 1180.43698      | 1181.75434527   | 1212.2548155   
F81+I+G         | -593.69805      | 1197.3961       | 1197.74493721   | 1213.30501775  
F81+I           | -597.05083      | 1202.10166      | 1202.33287387   | 1214.8287942   
HKY+G           | -594.95616      | 1199.91232      | 1200.26115721   | 1215.82123775  
HKY+I+G         | -593.43273      | 1198.86546      | 1199.35668807   | 1217.9561613   
HKY+I           | -596.96364      | 1203.92728      | 1204.27611721   | 1219.83619775  
SYM+G           | -627.76873      | 1267.53746      | 1268.02868807   | 1286.6281613   
SYM+I+G         | -626.53006      | 1267.06012      | 1267.71894353   | 1289.33260485  
SYM+I           | -630.20533      | 1272.41066      | 1272.90188807   | 1291.5013613   
GTR             | -625.96515      | 1267.9303       | 1268.78237101   | 1293.3845684   
F81             | -644.03976      | 1294.07952      | 1294.21745103   | 1303.62487065  
HKY             | -644.00616      | 1296.01232      | 1296.24353387   | 1308.7394542   
JC+G            | -669.61871      | 1341.23742      | 1341.26014727   | 1344.41920355  
K80+G           | -667.27094      | 1338.54188      | 1338.61045143   | 1344.9054471   
JC+I+G          | -668.01562      | 1340.03124      | 1340.09981143   | 1346.3948071   
K80+I+G         | -665.95782      | 1337.91564      | 1338.05357103   | 1347.46099065  
JC+I            | -671.17896      | 1344.35792      | 1344.38064727   | 1347.53970355  
K80+I           | -668.66142      | 1341.32284      | 1341.39141143   | 1347.6864071   
SYM             | -667.47797      | 1344.95594      | 1345.30477721   | 1360.86485775  
K80             | -708.61005      | 1419.2201       | 1419.24282727   | 1422.40188355  
JC              | -711.20135      | 1422.4027       | 1422.4027       | 1422.4027      
