Model selection results for subset: 2bb1e1ed0fa7b1499cef723fe239916e
Subset alignment stored here: ./analysis/phylofiles/2bb1e1ed0fa7b1499cef723fe239916e.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
K80+I           | -564.07577      | 1132.15154      | 1132.19665278   | 1139.34096276  
K80+I+G         | -563.67624      | 1133.35248      | 1133.44304604   | 1144.13661414  
K80+G           | -568.30518      | 1140.61036      | 1140.65547278   | 1147.79978276  
HKY+I           | -560.71549      | 1131.43098      | 1131.65911688   | 1149.4045369   
HKY+I+G         | -560.29706      | 1132.59412      | 1132.91473069   | 1154.16238828  
HKY+G           | -564.79602      | 1139.59204      | 1139.82017688   | 1157.5655969   
SYM+I           | -562.23525      | 1136.4705       | 1136.79111069   | 1158.03876828  
JC+I            | -577.51829      | 1157.03658      | 1157.05156127   | 1160.63129138  
SYM+I+G         | -561.61329      | 1137.22658      | 1137.65569877   | 1162.38955966  
JC+I+G          | -577.53256      | 1159.06512      | 1159.11023278   | 1166.25454276  
SYM+G           | -566.35067      | 1144.70134      | 1145.02195069   | 1166.26960828  
K80             | -581.01276      | 1164.02552      | 1164.04050127   | 1167.62023138  
JC+G            | -581.42383      | 1164.84766      | 1164.86264127   | 1168.44237138  
GTR+I           | -559.05051      | 1136.10102      | 1136.79600069   | 1168.45342242  
F81+I           | -574.31272      | 1156.62544      | 1156.77695515   | 1171.00428552  
GTR+I+G         | -558.60291      | 1137.20582      | 1138.05853318   | 1173.1529338   
GTR+G           | -563.04176      | 1144.08352      | 1144.77850069   | 1176.43592242  
F81+I+G         | -574.26863      | 1158.53726      | 1158.76539688   | 1176.5108169   
HKY             | -577.43904      | 1162.87808      | 1163.02959515   | 1177.25692552  
F81+G           | -578.11913      | 1164.23826      | 1164.38977515   | 1178.61710552  
SYM             | -578.96045      | 1167.9209       | 1168.14903688   | 1185.8944569   
JC              | -593.97038      | 1187.94076      | 1187.94076      | 1187.94076     
GTR             | -575.50931      | 1167.01862      | 1167.57246615   | 1195.77631104  
F81             | -590.61699      | 1187.23398      | 1187.32454604   | 1198.01811414  
