Model selection results for subset: 2bd43da8f6a0aa7817adb7fedb4329da
Subset alignment stored here: ./analysis/phylofiles/2bd43da8f6a0aa7817adb7fedb4329da.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_CYTB_p3, alineamiento_COI_p3, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2574.01705     | 5168.0341       | 5168.40509494   | 5212.06984198  
GTR+I           | -2579.63168     | 5177.26336      | 5177.5663903    | 5216.89552778  
GTR+G           | -2583.43158     | 5184.86316      | 5185.1661903    | 5224.49532778  
HKY+I+G         | -2615.2695      | 5242.539        | 5242.67970352   | 5268.96044519  
HKY+G           | -2621.22564     | 5252.45128      | 5252.55161445   | 5274.46915099  
HKY+I           | -2622.25659     | 5254.51318      | 5254.61351445   | 5276.53105099  
F81+G           | -2702.23722     | 5412.47444      | 5412.54121796   | 5430.08873679  
F81+I+G         | -2702.24393     | 5414.48786      | 5414.58819445   | 5436.50573099  
F81+I           | -2718.58869     | 5445.17738      | 5445.24415796   | 5462.79167679  
SYM+I+G         | -2757.45141     | 5528.90282      | 5529.09073946   | 5559.72783939  
SYM+G           | -2762.35745     | 5536.7149       | 5536.85560352   | 5563.13634519  
SYM+I           | -2768.53222     | 5549.06444      | 5549.20514352   | 5575.48588519  
GTR             | -2794.40052     | 5604.80104      | 5605.04305681   | 5640.02963358  
HKY             | -2856.58687     | 5721.17374      | 5721.24051796   | 5738.78803679  
F81             | -2904.61103     | 5815.22206      | 5815.26206      | 5828.43278259  
SYM             | -2918.8007      | 5847.6014       | 5847.70173445   | 5869.61927099  
K80+G           | -2939.89671     | 5883.79342      | 5883.81338672   | 5892.6005684   
K80+I+G         | -2938.84548     | 5883.69096      | 5883.73096      | 5896.90168259  
K80+I           | -2952.28634     | 5908.57268      | 5908.59264672   | 5917.3798284   
JC+G            | -2969.07586     | 5940.15172      | 5940.15836452   | 5944.5552942   
JC+I+G          | -2968.95129     | 5941.90258      | 5941.92254672   | 5950.7097284   
JC+I            | -2980.02973     | 5962.05946      | 5962.06610452   | 5966.4630342   
K80             | -3102.09169     | 6206.18338      | 6206.19002452   | 6210.5869542   
JC              | -3124.98857     | 6249.97714      | 6249.97714      | 6249.97714     
