Model selection results for subset: 2eddf004bc65ba12898ec2df0e14bdef
Subset alignment stored here: ./analysis/phylofiles/2eddf004bc65ba12898ec2df0e14bdef.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_COI_p1, alineamiento_CYTB_p1, alineamiento_CYTB_p2, alineamiento_COI_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -3287.36788     | 6594.73576      | 6595.0379578    | 6640.78873921  
GTR+G           | -3293.06483     | 6604.12966      | 6604.37657358   | 6645.57734129  
GTR+I           | -3302.71908     | 6623.43816      | 6623.68507358   | 6664.88584129  
HKY+G           | -3369.99205     | 6749.9841       | 6750.06595539   | 6773.0105896   
HKY+I+G         | -3367.5289      | 6747.0578       | 6747.1725541    | 6774.68958753  
HKY+I           | -3389.12808     | 6788.25616      | 6788.33801539   | 6811.2826496   
SYM+I+G         | -3445.4131      | 6904.8262       | 6904.97941477   | 6937.06328545  
SYM+G           | -3449.30589     | 6910.61178      | 6910.7265341    | 6938.24356753  
SYM+I           | -3460.73892     | 6933.47784      | 6933.5925941    | 6961.10962753  
F81+G           | -3498.15803     | 7004.31606      | 7004.37055591   | 7022.73725168  
F81+I+G         | -3497.60467     | 7005.20934      | 7005.29119539   | 7028.2358296   
GTR             | -3493.18749     | 7002.37498      | 7002.57224027   | 7039.21736337  
F81+I           | -3513.0965      | 7034.193        | 7034.24749591   | 7052.61419168  
SYM             | -3602.70875     | 7215.4175       | 7215.49935539   | 7238.4439896   
HKY             | -3611.40216     | 7230.80432      | 7230.85881591   | 7249.22551168  
K80+G           | -3644.61797     | 7293.23594      | 7293.25224435   | 7302.44653584  
K80+I+G         | -3643.16522     | 7292.33044      | 7292.36309306   | 7306.14633376  
K80+I           | -3660.64952     | 7325.29904      | 7325.31534435   | 7334.50963584  
JC+G            | -3696.00547     | 7394.01094      | 7394.01636741   | 7398.61623792  
JC+I+G          | -3695.05044     | 7394.10088      | 7394.11718435   | 7403.31147584  
F81             | -3698.86528     | 7403.73056      | 7403.76321306   | 7417.54645376  
JC+I            | -3709.75745     | 7421.5149       | 7421.52032741   | 7426.12019792  
K80             | -3817.3256      | 7636.6512       | 7636.65662741   | 7641.25649792  
JC              | -3862.08799     | 7724.17598      | 7724.17598      | 7724.17598     
