Model selection results for subset: 2f6d5d487a1e13d4dac7124f9e02510d
Subset alignment stored here: ./analysis/phylofiles/2f6d5d487a1e13d4dac7124f9e02510d.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY             | -637.21606      | 1282.43212      | 1282.71783429   | 1294.33905497  
HKY+I           | -637.14233      | 1284.28466      | 1284.71631468   | 1299.16832871  
HKY+G           | -637.19435      | 1284.3887       | 1284.82035468   | 1299.27236871  
GTR             | -630.54078      | 1277.08156      | 1278.14038353   | 1300.89542994  
HKY+I+G         | -637.13835      | 1286.2767       | 1286.88539565   | 1304.13710245  
GTR+G           | -630.5197       | 1279.0394       | 1280.37273333   | 1305.83000368  
GTR+I           | -630.53568      | 1279.07136      | 1280.40469333   | 1305.86196368  
GTR+I+G         | -630.53877      | 1281.07754      | 1282.71933104   | 1310.84487742  
F81+I           | -732.89022      | 1473.78044      | 1474.06615429   | 1485.68737497  
F81+G           | -735.22677      | 1478.45354      | 1478.73925429   | 1490.36047497  
F81+I+G         | -732.91787      | 1475.83574      | 1476.26739468   | 1490.71940871  
F81             | -747.56943      | 1501.13886      | 1501.30907277   | 1510.06906123  
SYM+I           | -744.05918      | 1500.11836      | 1500.72705565   | 1517.97876245  
SYM+G           | -745.35968      | 1502.71936      | 1503.32805565   | 1520.57976245  
SYM+I+G         | -743.92139      | 1501.84278      | 1502.66029825   | 1522.6799162   
SYM             | -756.8435       | 1523.687        | 1524.11865468   | 1538.57066871  
K80+I           | -800.87306      | 1605.74612      | 1605.83062704   | 1611.69958748  
K80+G           | -801.53151      | 1607.06302      | 1607.14752704   | 1613.01648748  
K80+I+G         | -800.71758      | 1607.43516      | 1607.60537277   | 1616.36536123  
K80             | -817.03261      | 1636.06522      | 1636.09319203   | 1639.04195374  
JC+I            | -824.65208      | 1651.30416      | 1651.33213203   | 1654.28089374  
JC+G            | -825.13138      | 1652.26276      | 1652.29073203   | 1655.23949374  
JC+I+G          | -824.49136      | 1652.98272      | 1653.06722704   | 1658.93618748  
JC              | -838.60072      | 1677.20144      | 1677.20144      | 1677.20144     
