Model selection results for subset: 30b6a3de94131976c8b053e513f415f1
Subset alignment stored here: ./analysis/phylofiles/30b6a3de94131976c8b053e513f415f1.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -1298.88558     | 2615.77116      | 2616.34623987   | 2649.77003091  
GTR+I+G         | -1298.88882     | 2617.77764      | 2618.48276821   | 2655.55416323  
GTR+G           | -1309.66713     | 2637.33426      | 2637.90933987   | 2671.33313091  
HKY+G           | -1345.13916     | 2700.27832      | 2700.46759445   | 2719.16658162  
HKY+I+G         | -1345.13965     | 2702.2793       | 2702.54512278   | 2724.94521394  
HKY+I           | -1351.5693      | 2713.1386       | 2713.32787445   | 2732.02686162  
GTR             | -1378.94812     | 2773.89624      | 2774.35483873   | 2804.11745859  
F81+G           | -1416.71404     | 2841.42808      | 2841.55386616   | 2856.53868929  
F81+I+G         | -1416.86805     | 2843.7361       | 2843.92537445   | 2862.62436162  
F81+I           | -1420.9171      | 2849.8342       | 2849.95998616   | 2864.94480929  
HKY             | -1447.77544     | 2903.55088      | 2903.67666616   | 2918.66148929  
SYM+G           | -1456.28495     | 2924.5699       | 2924.83572278   | 2947.23581394  
SYM+I+G         | -1456.30528     | 2926.61056      | 2926.96611556   | 2953.05412626  
SYM+I           | -1462.07187     | 2936.14374      | 2936.40956278   | 2958.80965394  
F81             | -1493.26974     | 2992.53948      | 2992.61471511   | 3003.87243697  
K80+G           | -1524.65186     | 3053.30372      | 3053.34122      | 3060.85902465  
K80+I+G         | -1524.50948     | 3055.01896      | 3055.09419511   | 3066.35191697  
K80+I           | -1530.31012     | 3064.62024      | 3064.65774      | 3072.17554465  
SYM             | -1524.12838     | 3058.25676      | 3058.44603445   | 3077.14502162  
JC+G            | -1539.09429     | 3080.18858      | 3080.20104106   | 3083.96623232  
JC+I+G          | -1538.86704     | 3081.73408      | 3081.77158      | 3089.28938465  
JC+I            | -1543.95915     | 3089.9183       | 3089.93076106   | 3093.69595232  
K80             | -1593.69337     | 3189.38674      | 3189.39920106   | 3193.16439232  
JC              | -1604.9769      | 3209.9538       | 3209.9538       | 3209.9538      
