Model selection results for subset: 312dfa285df10db6196f80b02167a54b
Subset alignment stored here: ./analysis/phylofiles/312dfa285df10db6196f80b02167a54b.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -914.11728      | 1846.23456      | 1846.8531167    | 1879.59855238  
GTR+G           | -914.23917      | 1846.47834      | 1847.0968967    | 1879.84233238  
GTR+I+G         | -914.23989      | 1848.47978      | 1849.23840069   | 1885.55088265  
HKY+G           | -931.38336      | 1872.76672      | 1872.97010983   | 1891.30227132  
HKY+I           | -931.74732      | 1873.49464      | 1873.69802983   | 1892.03019132  
HKY+I+G         | -931.16106      | 1874.32212      | 1874.60783429   | 1896.56478159  
SYM+G           | -937.01489      | 1886.02978      | 1886.31549429   | 1908.27244159  
SYM+I           | -938.01078      | 1888.02156      | 1888.30727429   | 1910.26422159  
SYM+I+G         | -936.65023      | 1887.30046      | 1887.68271256   | 1913.25023185  
K80+G           | -962.94045      | 1929.8809       | 1929.92116846   | 1937.29512053  
K80+I           | -963.38613      | 1930.77226      | 1930.81252846   | 1938.18648053  
F81+G           | -959.20376      | 1926.40752      | 1926.54265514   | 1941.23596106  
K80+I+G         | -962.21039      | 1930.42078      | 1930.50158808   | 1941.54211079  
F81+I           | -959.52196      | 1927.04392      | 1927.17905514   | 1941.87236106  
F81+I+G         | -958.80785      | 1927.6157       | 1927.81908983   | 1946.15125132  
GTR             | -958.23999      | 1932.47998      | 1932.97313068   | 1962.13686212  
JC+G            | -983.45678      | 1968.91356      | 1968.92693793   | 1972.62067026  
JC+I            | -983.94795      | 1969.8959       | 1969.90927793   | 1973.60301026  
JC+I+G          | -982.55991      | 1969.11982      | 1969.16008846   | 1976.53404053  
HKY             | -982.54027      | 1973.08054      | 1973.21567514   | 1987.90898106  
SYM             | -979.82665      | 1969.6533       | 1969.85668983   | 1988.18885132  
K80             | -1009.68451     | 2021.36902      | 2021.38239793   | 2025.07613026  
F81             | -1007.59773     | 2021.19546      | 2021.27626808   | 2032.31679079  
JC              | -1030.1051      | 2060.2102       | 2060.2102       | 2060.2102      
