Model selection results for subset: 340961b5188807e873a494f964224da2
Subset alignment stored here: ./analysis/phylofiles/340961b5188807e873a494f964224da2.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p2, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+I           | -666.77891      | 1341.55782      | 1341.69916276   | 1356.20966192  
F81+G           | -666.92059      | 1341.84118      | 1341.98252276   | 1356.49302192  
HKY+I           | -664.99617      | 1339.99234      | 1340.20510596   | 1358.3071424   
HKY+G           | -665.15092      | 1340.30184      | 1340.51460596   | 1358.6166424   
F81+I+G         | -666.74494      | 1343.48988      | 1343.70264596   | 1361.8046824   
HKY+I+G         | -664.95789      | 1341.91578      | 1342.21471238   | 1363.89354288  
F81             | -678.12732      | 1362.25464      | 1362.33914704   | 1373.24352144  
HKY             | -676.53021      | 1361.06042      | 1361.20176276   | 1375.71226192  
GTR+I           | -663.73605      | 1345.4721       | 1346.11958201   | 1378.43874432  
GTR+G           | -663.80836      | 1345.61672      | 1346.26420201   | 1378.58336432  
GTR+I+G         | -663.69908      | 1347.39816      | 1348.19238383   | 1384.0277648   
GTR             | -674.65376      | 1365.30752      | 1365.82364903   | 1394.61120384  
JC+I            | -701.15943      | 1404.31886      | 1404.33284601   | 1407.98182048  
JC+G            | -701.2833       | 1404.5666       | 1404.58058601   | 1408.22956048  
K80+I           | -700.28328      | 1404.56656      | 1404.60866526   | 1411.89248096  
K80+G           | -700.42262      | 1404.84524      | 1404.88734526   | 1412.17116096  
JC+I+G          | -701.14109      | 1406.28218      | 1406.32428526   | 1413.60810096  
K80+I+G         | -700.27376      | 1406.54752      | 1406.63202704   | 1417.53640144  
SYM+I           | -693.8609       | 1399.7218       | 1400.02073238   | 1421.69956288  
SYM+G           | -693.9664       | 1399.9328       | 1400.23173238   | 1421.91056288  
JC              | -712.21469      | 1424.42938      | 1424.42938      | 1424.42938     
SYM+I+G         | -693.86256      | 1401.72512      | 1402.12512      | 1427.36584336  
K80             | -711.41214      | 1424.82428      | 1424.83826601   | 1428.48724048  
SYM             | -705.03441      | 1420.06882      | 1420.28158596   | 1438.3836224   
