Model selection results for subset: 342a42145f8d9bfef7b84c76cac313d7
Subset alignment stored here: ./analysis/phylofiles/342a42145f8d9bfef7b84c76cac313d7.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p1, alineamiento_WG_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1091.8903      | 2201.7806       | 2202.44726667   | 2234.49370643  
GTR+I+G         | -1091.89005     | 2203.7801       | 2204.59794387   | 2240.12799603  
HKY+G           | -1106.79606     | 2223.59212      | 2223.8110981    | 2241.76606802  
HKY+I+G         | -1106.79392     | 2225.58784      | 2225.89553231   | 2247.39657762  
GTR+I           | -1098.46767     | 2214.93534      | 2215.60200667   | 2247.64844643  
HKY+I           | -1115.34015     | 2240.6803       | 2240.8992781    | 2258.85424802  
SYM+G           | -1155.66982     | 2323.33964      | 2323.64733231   | 2345.14837762  
SYM+I           | -1156.2173      | 2324.4346       | 2324.74229231   | 2346.24333762  
F81+G           | -1164.06812     | 2336.13624      | 2336.28169455   | 2350.67539841  
SYM+I+G         | -1155.68458     | 2325.36916      | 2325.78092471   | 2350.81268722  
F81+I+G         | -1164.06777     | 2338.13554      | 2338.3545181    | 2356.30948802  
F81+I           | -1168.6802      | 2345.3604       | 2345.50585455   | 2359.89955841  
GTR             | -1175.2947      | 2366.5894       | 2367.12076531   | 2395.66771683  
K80+G           | -1202.66917     | 2409.33834      | 2409.3816613    | 2416.60791921  
HKY             | -1197.413       | 2402.826        | 2402.97145455   | 2417.36515841  
K80+I+G         | -1202.66772     | 2411.33544      | 2411.42239652   | 2422.23980881  
K80+I           | -1205.50174     | 2415.00348      | 2415.0468013    | 2422.27305921  
SYM             | -1221.85012     | 2453.70024      | 2453.9192181    | 2471.87418802  
JC+G            | -1239.34146     | 2480.68292      | 2480.69730849   | 2484.3177096   
JC+I            | -1241.09588     | 2484.19176      | 2484.20614849   | 2487.8265496   
JC+I+G          | -1239.34114     | 2482.68228      | 2482.7256013    | 2489.95185921  
F81             | -1239.39111     | 2484.78222      | 2484.86917652   | 2495.68658881  
K80             | -1271.88059     | 2545.76118      | 2545.77556849   | 2549.3959696   
JC              | -1303.18236     | 2606.36472      | 2606.36472      | 2606.36472     
