Model selection results for subset: 372a93ed501d9fc155677551352fcbe5
Subset alignment stored here: ./analysis/phylofiles/372a93ed501d9fc155677551352fcbe5.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_WG_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -918.98421      | 1855.96842      | 1856.60671787   | 1889.05920422  
GTR+I           | -919.23041      | 1856.46082      | 1857.09911787   | 1889.55160422  
HKY+I           | -931.0032       | 1872.0064       | 1872.21619021   | 1890.39016901  
HKY+G           | -931.00993      | 1872.01986      | 1872.22965021   | 1890.40362901  
GTR+I+G         | -917.35008      | 1854.70016      | 1855.48307815   | 1891.46769802  
HKY+I+G         | -928.81531      | 1869.63062      | 1869.92535684   | 1891.69114281  
SYM+G           | -928.93282      | 1869.86564      | 1870.16037684   | 1891.92616281  
SYM+I           | -929.36253      | 1870.72506      | 1871.01979684   | 1892.78558281  
SYM+I+G         | -926.58493      | 1867.16986      | 1867.5642262    | 1892.90713662  
K80+I           | -946.81834      | 1897.63668      | 1897.67820249   | 1904.9901876   
K80+G           | -946.83156      | 1897.66312      | 1897.70464249   | 1905.0166276   
K80+I+G         | -944.25974      | 1894.51948      | 1894.60281333   | 1905.54974141  
F81+I           | -970.67837      | 1949.35674      | 1949.49611282   | 1964.06375521  
F81+G           | -970.72656      | 1949.45312      | 1949.59249282   | 1964.16013521  
F81+I+G         | -968.69556      | 1947.39112      | 1947.60091021   | 1965.77488901  
JC+I            | -984.49533      | 1970.99066      | 1971.0044531    | 1974.6674138   
JC+G            | -984.51226      | 1971.02452      | 1971.0383131    | 1974.7012738   
JC+I+G          | -982.45203      | 1968.90406      | 1968.94558249   | 1976.2575676   
GTR             | -970.30975      | 1956.6195       | 1957.12833392   | 1986.03353042  
SYM             | -980.19751      | 1970.39502      | 1970.60481021   | 1988.77878901  
HKY             | -985.25993      | 1978.51986      | 1978.65923282   | 1993.22687521  
K80             | -1000.11367     | 2002.22734      | 2002.2411331    | 2005.9040938   
F81             | -1023.79797     | 2053.59594      | 2053.67927333   | 2064.62620141  
JC              | -1036.54609     | 2073.09218      | 2073.09218      | 2073.09218     
