Model selection results for subset: 37b195a60dd2aa27a214b5a784bd017e
Subset alignment stored here: ./analysis/phylofiles/37b195a60dd2aa27a214b5a784bd017e.phy
This subset contains the following data_blocks: (alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -583.37144      | 1184.74288      | 1185.82072431   | 1213.32822759  
GTR+G           | -583.60161      | 1185.20322      | 1186.28106431   | 1213.78856759  
F81+G           | -597.29546      | 1202.59092      | 1202.82347814   | 1215.29551893  
F81+I           | -597.96214      | 1203.92428      | 1204.15683814   | 1216.62887893  
HKY+G           | -595.5013       | 1201.0026       | 1201.35347719   | 1216.88334866  
HKY+I           | -596.51088      | 1203.02176      | 1203.37263719   | 1218.90250866  
GTR+I+G         | -583.60184      | 1187.20368      | 1188.5289812    | 1218.96517733  
F81+I+G         | -597.1581       | 1204.3162       | 1204.66707719   | 1220.19694866  
HKY+I+G         | -595.37476      | 1202.74952      | 1203.24363765   | 1221.8064184   
SYM+G           | -634.46701      | 1280.93402      | 1281.42813765   | 1299.9909184   
SYM+I           | -635.60338      | 1283.20676      | 1283.70087765   | 1302.2636584   
SYM+I+G         | -634.14775      | 1282.2955       | 1282.95822189   | 1304.52854813  
GTR             | -636.54991      | 1289.09982      | 1289.95696286   | 1314.50901786  
F81             | -652.5737       | 1311.1474       | 1311.28612832   | 1320.6758492   
HKY             | -652.29805      | 1312.5961       | 1312.82865814   | 1325.30069893  
JC+G            | -677.43626      | 1356.87252      | 1356.89537714   | 1360.04866973  
JC+I            | -677.96709      | 1357.93418      | 1357.95703714   | 1361.11032973  
K80+G           | -676.46769      | 1356.93538      | 1357.00434552   | 1363.28767947  
K80+I           | -676.97657      | 1357.95314      | 1358.02210552   | 1364.30543947  
JC+I+G          | -677.17458      | 1358.34916      | 1358.41812552   | 1364.70145947  
K80+I+G         | -676.24036      | 1358.48072      | 1358.61944832   | 1368.0091692   
SYM             | -679.44391      | 1368.88782      | 1369.23869719   | 1384.76856866  
JC              | -724.67192      | 1449.34384      | 1449.34384      | 1449.34384     
K80             | -723.58374      | 1449.16748      | 1449.19033714   | 1452.34362973  
