Model selection results for subset: 38fcadb0c9ea293e0d8a20cda10f3d45
Subset alignment stored here: ./analysis/phylofiles/38fcadb0c9ea293e0d8a20cda10f3d45.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+G           | -939.20875      | 1886.4175       | 1886.54368297   | 1901.51570618  
F81+I           | -939.44248      | 1886.88496      | 1887.01114297   | 1901.98316618  
HKY+G           | -937.32604      | 1884.65208      | 1884.84195342   | 1903.52483773  
HKY+I           | -937.61119      | 1885.22238      | 1885.41225342   | 1904.09513773  
GTR+G           | -927.03182      | 1872.06364      | 1872.64056308   | 1906.03460391  
GTR+I           | -927.31832      | 1872.63664      | 1873.21356308   | 1906.60760391  
F81+I+G         | -939.18076      | 1888.36152      | 1888.55139342   | 1907.23427773  
HKY+I+G         | -937.24278      | 1886.48556      | 1886.75222667   | 1909.13286927  
GTR+I+G         | -927.05364      | 1874.10728      | 1874.8146755    | 1911.85279546  
GTR             | -950.98092      | 1917.96184      | 1918.4219039    | 1948.15825236  
F81             | -965.99395      | 1937.9879       | 1938.0633717    | 1949.31155464  
HKY             | -964.94502      | 1937.89004      | 1938.01622297   | 1952.98824618  
SYM+G           | -979.11987      | 1970.23974      | 1970.50640667   | 1992.88704927  
SYM+I           | -979.96932      | 1971.93864      | 1972.20530667   | 1994.58594927  
SYM+I+G         | -978.6125       | 1971.225        | 1971.5816879    | 1997.64686082  
JC+G            | -1010.95476     | 2023.90952      | 2023.92202      | 2027.68407155  
JC+I            | -1011.56734     | 2025.13468      | 2025.14718      | 2028.90923155  
JC+I+G          | -1010.62871     | 2025.25742      | 2025.29503755   | 2032.80652309  
K80+G           | -1010.95196     | 2025.90392      | 2025.94153755   | 2033.45302309  
K80+I           | -1011.56129     | 2027.12258      | 2027.16019755   | 2034.67168309  
SYM             | -1003.57428     | 2017.14856      | 2017.33843342   | 2036.02131773  
K80+I+G         | -1010.62788     | 2027.25576      | 2027.3312317    | 2038.57941464  
JC              | -1037.02795     | 2074.0559       | 2074.0559       | 2074.0559      
K80             | -1037.01627     | 2076.03254      | 2076.04504      | 2079.80709155  
