Model selection results for subset: 39bdaa4de610d74ec1d28810afbc0923
Subset alignment stored here: ./analysis/phylofiles/39bdaa4de610d74ec1d28810afbc0923.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_COI_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -1568.84648     | 3157.69296      | 3158.41664421   | 3195.21868639  
GTR+I           | -1574.77899     | 3167.55798      | 3168.14814393   | 3201.33113375  
GTR+G           | -1575.76193     | 3169.52386      | 3170.11402393   | 3203.29701375  
HKY+I+G         | -1598.79715     | 3209.5943       | 3209.86702727   | 3232.10973583  
HKY+G           | -1603.68635     | 3217.3727       | 3217.56687476   | 3236.13556319  
HKY+I           | -1606.1644      | 3222.3288       | 3222.52297476   | 3241.09166319  
F81+G           | -1640.86218     | 3289.72436      | 3289.85339226   | 3304.73465056  
F81+I+G         | -1640.92084     | 3291.84168      | 3292.03585476   | 3310.60454319  
F81+I           | -1653.96264     | 3315.92528      | 3316.05431226   | 3330.93557056  
SYM+I+G         | -1653.32722     | 3320.65444      | 3321.01926085   | 3346.92244847  
SYM+G           | -1658.69035     | 3329.3807       | 3329.65342727   | 3351.89613583  
SYM+I           | -1662.26178     | 3336.52356      | 3336.79628727   | 3359.03899583  
GTR             | -1722.1259      | 3460.2518       | 3460.72238824   | 3490.27238111  
SYM             | -1766.84274     | 3543.68548      | 3543.87965476   | 3562.44834319  
HKY             | -1772.55621     | 3553.11242      | 3553.24145226   | 3568.12271056  
K80+G           | -1780.42801     | 3564.85602      | 3564.89448154   | 3572.36116528  
K80+I+G         | -1779.49984     | 3564.99968      | 3565.07685042   | 3576.25739792  
JC+G            | -1790.17482     | 3582.34964      | 3582.36241955   | 3586.10221264  
K80+I           | -1789.64372     | 3583.28744      | 3583.32590154   | 3590.79258528  
JC+I+G          | -1789.97326     | 3583.94652      | 3583.98498154   | 3591.45166528  
F81             | -1789.60073     | 3585.20146      | 3585.27863042   | 3596.45917792  
JC+I            | -1798.69899     | 3599.39798      | 3599.41075955   | 3603.15055264  
K80             | -1898.34276     | 3798.68552      | 3798.69829955   | 3802.43809264  
JC              | -1905.52367     | 3811.04734      | 3811.04734      | 3811.04734     
