Model selection results for subset: 3c27543f85324d9d95b31d87c8739106
Subset alignment stored here: ./analysis/phylofiles/3c27543f85324d9d95b31d87c8739106.phy
This subset contains the following data_blocks: (alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
JC              | -186.7912       | 373.5824        | 373.5824        | 373.5824       
JC+I            | -185.77278      | 373.54556       | 373.57586303    | 376.4433998    
JC+G            | -186.78816      | 375.57632       | 375.60662303    | 378.4741598    
K80             | -186.79111      | 375.58222       | 375.61252303    | 378.4800598    
F81             | -182.85872      | 371.71744       | 371.902055385   | 380.4109594    
K80+I           | -185.77277      | 375.54554       | 375.637143053   | 381.3412196    
JC+I+G          | -185.78502      | 375.57004       | 375.661643053   | 381.3657196    
F81+I           | -181.84054      | 371.68108       | 371.991157519   | 383.2724392    
K80+G           | -186.788        | 377.576         | 377.667603053   | 383.3716796    
F81+G           | -182.85565      | 373.7113        | 374.021377519   | 385.3026592    
HKY             | -182.85872      | 373.71744       | 374.027517519   | 385.3087992    
K80+I+G         | -185.78501      | 377.57002       | 377.754635385   | 386.2635394    
HKY+I           | -181.84054      | 373.68108       | 374.14983       | 388.170279     
F81+I+G         | -181.85277      | 373.70554       | 374.17429       | 388.194739     
HKY+G           | -182.85565      | 375.7113        | 376.18005       | 390.200499     
HKY+I+G         | -181.85277      | 375.70554       | 376.366957323   | 393.0925788    
SYM             | -186.78432      | 383.56864       | 384.03739       | 398.057839     
SYM+I           | -185.77269      | 383.54538       | 384.206797323   | 400.9324188    
SYM+G           | -186.74063      | 385.48126       | 386.142677323   | 402.8682988    
GTR             | -182.85872      | 381.71744       | 382.86944       | 404.9001584    
SYM+I+G         | -185.78494      | 385.56988       | 386.458768889   | 405.8547586    
GTR+I           | -181.84054      | 381.68108       | 383.132692903   | 407.7616382    
GTR+G           | -182.85565      | 383.7113        | 385.162912903   | 409.7918582    
GTR+I+G         | -181.85277      | 383.70554       | 385.494157886   | 412.683938     
