Model selection results for subset: 3d3b10198298dfbb53341c978b7e589a
Subset alignment stored here: ./analysis/phylofiles/3d3b10198298dfbb53341c978b7e589a.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_16S_p1, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1499.48036     | 3016.96072      | 3017.32881816   | 3054.87417486  
GTR+I+G         | -1497.69833     | 3015.39666      | 3015.84747967   | 3057.52272096  
GTR+I           | -1501.04393     | 3020.08786      | 3020.45595816   | 3058.00131486  
F81+I+G         | -1521.39678     | 3052.79356      | 3052.91526385   | 3073.85659048  
F81+G           | -1524.9153      | 3057.8306       | 3057.91157166   | 3074.68102438  
F81+I           | -1525.90189     | 3059.80378      | 3059.88475166   | 3076.65420438  
HKY+I+G         | -1519.74649     | 3051.49298      | 3051.66371171   | 3076.76861657  
HKY+G           | -1523.5201      | 3057.0402       | 3057.16190385   | 3078.10323048  
HKY+I           | -1524.66597     | 3059.33194      | 3059.45364385   | 3080.39497048  
SYM+G           | -1600.97527     | 3213.95054      | 3214.12127171   | 3239.22617657  
SYM+I+G         | -1597.98281     | 3209.96562      | 3210.19372591   | 3239.45386267  
GTR             | -1595.62195     | 3207.2439       | 3207.53777755   | 3240.94474877  
SYM+I           | -1603.65497     | 3219.30994      | 3219.48067171   | 3244.58557657  
F81             | -1626.33603     | 3258.67206      | 3258.72054485   | 3271.30987829  
HKY             | -1626.28887     | 3260.57774      | 3260.65871166   | 3277.42816438  
JC+I+G          | -1668.29017     | 3340.58034      | 3340.60453355   | 3349.00555219  
JC+G            | -1671.49004     | 3344.98008      | 3344.98812829   | 3349.1926861   
K80+G           | -1669.27389     | 3342.54778      | 3342.57197355   | 3350.97299219  
JC+I            | -1672.48058     | 3346.96116      | 3346.96920829   | 3351.1737661   
K80+I+G         | -1666.36251     | 3338.72502      | 3338.77350485   | 3351.36283829  
K80+I           | -1670.21392     | 3344.42784      | 3344.45203355   | 3352.85305219  
SYM             | -1688.9543      | 3387.9086       | 3388.03030385   | 3408.97163048  
JC              | -1763.53088     | 3527.06176      | 3527.06176      | 3527.06176     
K80             | -1760.96997     | 3523.93994      | 3523.94798829   | 3528.1525461   
