Model selection results for subset: 41f711fd6db337353dd6aa66d24b9f72
Subset alignment stored here: ./analysis/phylofiles/41f711fd6db337353dd6aa66d24b9f72.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_16S_p2, alineamiento_16S_p1, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2181.80559     | 4383.61118      | 4383.9460354    | 4428.65406174  
GTR+G           | -2185.42553     | 4388.85106      | 4389.12461623   | 4429.38965356  
GTR+I           | -2189.1915      | 4396.383        | 4396.65655623   | 4436.92159356  
HKY+I+G         | -2221.77392     | 4455.54784      | 4455.67492018   | 4482.57356904  
HKY+G           | -2226.51215     | 4463.0243       | 4463.11493444   | 4485.54574087  
F81+I+G         | -2228.05067     | 4466.10134      | 4466.19197444   | 4488.62278087  
F81+G           | -2231.62563     | 4471.25126      | 4471.31159183   | 4489.26841269  
HKY+I           | -2230.06753     | 4470.13506      | 4470.22569444   | 4492.65650087  
F81+I           | -2234.45558     | 4476.91116      | 4476.97149183   | 4494.92831269  
SYM+I+G         | -2298.5318      | 4611.0636       | 4611.23329697   | 4642.59361721  
SYM+G           | -2303.05953     | 4618.11906      | 4618.24614018   | 4645.14478904  
SYM+I           | -2308.48795     | 4628.9759       | 4629.10298018   | 4656.00162904  
GTR             | -2310.46284     | 4636.92568      | 4637.1441929    | 4672.95998539  
F81             | -2365.11999     | 4736.23998      | 4736.27612458   | 4749.75284452  
HKY             | -2363.04799     | 4734.09598      | 4734.15631183   | 4752.11313269  
JC+G            | -2421.56145     | 4845.1229       | 4845.12890601   | 4849.62718817  
JC+I+G          | -2418.46048     | 4840.92096      | 4840.93900511   | 4849.92953635  
JC+I            | -2424.18218     | 4850.36436      | 4850.37036601   | 4854.86864817  
K80+G           | -2421.4892      | 4846.9784       | 4846.99644511   | 4855.98697635  
K80+I+G         | -2418.44103     | 4842.88206      | 4842.91820458   | 4856.39492452  
K80+I           | -2424.08019     | 4852.16038      | 4852.17842511   | 4861.16895635  
SYM             | -2420.27623     | 4850.55246      | 4850.64309444   | 4873.07390087  
JC              | -2542.15156     | 5084.30312      | 5084.30312      | 5084.30312     
K80             | -2542.00722     | 5086.01444      | 5086.02044601   | 5090.51872817  
