Model selection results for subset: 435725591b48d79795dba61c0c752d7c
Subset alignment stored here: ./analysis/phylofiles/435725591b48d79795dba61c0c752d7c.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -1249.08601     | 2518.17202      | 2518.92803375   | 2555.27629017  
GTR+I           | -1254.60238     | 2527.20476      | 2527.82119836   | 2560.59860316  
GTR+G           | -1254.78482     | 2527.56964      | 2528.18607836   | 2560.96348316  
HKY+G           | -1294.50139     | 2599.00278      | 2599.2054827    | 2617.55491509  
HKY+I+G         | -1294.50131     | 2601.00262      | 2601.28736576   | 2623.2651821   
HKY+I           | -1300.96823     | 2611.93646      | 2612.1391627    | 2630.48859509  
SYM+G           | -1326.01851     | 2664.03702      | 2664.32176576   | 2686.2995821   
SYM+I+G         | -1323.98293     | 2661.96586      | 2662.34681238   | 2687.93884912  
SYM+I           | -1328.08283     | 2668.16566      | 2668.45040576   | 2690.4282221   
GTR             | -1342.17955     | 2700.3591       | 2700.85056758   | 2730.04251614  
F81+G           | -1375.33505     | 2758.6701       | 2758.80478013   | 2773.51180807  
F81+I           | -1377.8867      | 2763.7734       | 2763.90808013   | 2778.61510807  
F81+I+G         | -1375.33556     | 2760.67112      | 2760.8738227    | 2779.22325509  
K80+G           | -1405.53519     | 2815.07038      | 2815.11051378   | 2822.49123403  
SYM             | -1399.12484     | 2808.24968      | 2808.4523827    | 2826.80181509  
K80+I+G         | -1405.43399     | 2816.86798      | 2816.94851691   | 2827.99926105  
K80+I           | -1408.82877     | 2821.65754      | 2821.69767378   | 2829.07839403  
HKY             | -1409.94527     | 2827.89054      | 2828.02522013   | 2842.73224807  
JC+G            | -1451.76568     | 2905.53136      | 2905.54469333   | 2909.24178702  
JC+I            | -1454.37699     | 2910.75398      | 2910.76731333   | 2914.46440702  
JC+I+G          | -1451.82503     | 2907.65006      | 2907.69019378   | 2915.07091403  
F81             | -1473.91689     | 2953.83378      | 2953.91431691   | 2964.96506105  
K80             | -1494.97072     | 2991.94144      | 2991.95477333   | 2995.65186702  
JC              | -1537.74191     | 3075.48382      | 3075.48382      | 3075.48382     
