Model selection results for subset: 461ae0e507555dcb2ce1fc2758b445d1
Subset alignment stored here: ./analysis/phylofiles/461ae0e507555dcb2ce1fc2758b445d1.phy
This subset contains the following data_blocks: (alineamiento_COI_p3, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+I           | -634.86939      | 1279.73878      | 1279.94216983   | 1298.27433132  
F81+I           | -640.1019       | 1288.2038       | 1288.33893514   | 1303.03224106  
HKY+I+G         | -634.45912      | 1280.91824      | 1281.20395429   | 1303.16090159  
F81+I+G         | -640.0953       | 1290.1906       | 1290.39398983   | 1308.72615132  
HKY+G           | -643.37338      | 1296.74676      | 1296.95014983   | 1315.28231132  
GTR+I           | -632.21626      | 1282.43252      | 1283.0510767    | 1315.79651238  
F81+G           | -648.07333      | 1304.14666      | 1304.28179514   | 1318.97510106  
GTR+I+G         | -631.85768      | 1283.71536      | 1284.47398069   | 1320.78646265  
GTR+G           | -640.46913      | 1298.93826      | 1299.5568167    | 1332.30225238  
K80+I           | -662.94263      | 1329.88526      | 1329.92552846   | 1337.29948053  
JC+I            | -667.27278      | 1336.54556      | 1336.55893793   | 1340.25267026  
K80+I+G         | -662.80964      | 1331.61928      | 1331.70008808   | 1342.74061079  
SYM+I           | -655.61752      | 1323.23504      | 1323.52075429   | 1345.47770159  
JC+I+G          | -667.18406      | 1338.36812      | 1338.40838846   | 1345.78234053  
HKY             | -662.82931      | 1333.65862      | 1333.79375514   | 1348.48706106  
F81             | -666.38806      | 1338.77612      | 1338.85692808   | 1349.89745079  
SYM+I+G         | -655.10491      | 1324.20982      | 1324.59207256   | 1350.15959185  
K80+G           | -669.904        | 1343.808        | 1343.84826846   | 1351.22222053  
JC+G            | -673.83182      | 1349.66364      | 1349.67701793   | 1353.37075026  
SYM+G           | -662.38588      | 1336.77176      | 1337.05747429   | 1359.01442159  
GTR             | -659.40509      | 1334.81018      | 1335.30333068   | 1364.46706212  
K80             | -687.33062      | 1376.66124      | 1376.67461793   | 1380.36835026  
JC              | -691.04231      | 1382.08462      | 1382.08462      | 1382.08462     
SYM             | -680.50297      | 1371.00594      | 1371.20932983   | 1389.54149132  
