Model selection results for subset: 470066c20a552f8d357ecf285a691ad2
Subset alignment stored here: ./analysis/phylofiles/470066c20a552f8d357ecf285a691ad2.phy
This subset contains the following data_blocks: (alineamiento_16S_p1, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+G           | -962.23855      | 1932.4771       | 1932.60328297   | 1947.57530618  
F81+I           | -963.29632      | 1934.59264      | 1934.71882297   | 1949.69084618  
F81+I+G         | -960.43729      | 1930.87458      | 1931.06445342   | 1949.74733773  
HKY+G           | -961.34613      | 1932.69226      | 1932.88213342   | 1951.56501773  
GTR+G           | -950.23002      | 1918.46004      | 1919.03696308   | 1952.43100391  
HKY+I+G         | -959.40078      | 1930.80156      | 1931.06822667   | 1953.44886927  
HKY+I           | -962.54935      | 1935.0987       | 1935.28857342   | 1953.97145773  
GTR+I           | -951.31325      | 1920.6265       | 1921.20342308   | 1954.59746391  
GTR+I+G         | -949.10913      | 1918.21826      | 1918.9256555    | 1955.96377546  
GTR             | -1001.27532     | 2018.55064      | 2019.0107039    | 2048.74705236  
F81             | -1016.26836     | 2038.53672      | 2038.6121917    | 2049.86037464  
HKY             | -1016.11051     | 2040.22102      | 2040.34720297   | 2055.31922618  
SYM+G           | -1010.76673     | 2033.53346      | 2033.80012667   | 2056.18076927  
SYM+I           | -1012.35091     | 2036.70182      | 2036.96848667   | 2059.34912927  
SYM+I+G         | -1009.8672      | 2033.7344       | 2034.0910879    | 2060.15626082  
JC+G            | -1050.50733     | 2103.01466      | 2103.02716      | 2106.78921155  
JC+I            | -1051.705       | 2105.41         | 2105.4225       | 2109.18455155  
JC+I+G          | -1048.91649     | 2101.83298      | 2101.87059755   | 2109.38208309  
K80+G           | -1049.79628     | 2103.59256      | 2103.63017755   | 2111.14166309  
K80+I           | -1050.95375     | 2105.9075       | 2105.94511755   | 2113.45660309  
K80+I+G         | -1048.31542     | 2102.63084      | 2102.7063117    | 2113.95449464  
SYM             | -1056.69346     | 2123.38692      | 2123.57679342   | 2142.25967773  
JC              | -1097.96654     | 2195.93308      | 2195.93308      | 2195.93308     
K80             | -1097.09432     | 2196.18864      | 2196.20114      | 2199.96319155  
