Model selection results for subset: 4824dce4264fe6e954ed1be5cd565320
Subset alignment stored here: ./analysis/phylofiles/4824dce4264fe6e954ed1be5cd565320.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_CYTB_p3, alineamiento_16S_p1, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -2116.03423     | 4250.06846      | 4250.33832507   | 4290.72750146  
GTR+I+G         | -2113.70269     | 4247.40538      | 4247.73571033   | 4292.58209273  
GTR+I           | -2119.18785     | 4256.3757       | 4256.64556507   | 4297.03474146  
F81+G           | -2147.70844     | 4303.41688      | 4303.47640381   | 4321.48756509  
HKY+I+G         | -2141.34481     | 4294.68962      | 4294.81499313   | 4321.79564764  
F81+I+G         | -2144.75595     | 4299.5119       | 4299.60131878   | 4322.10025636  
HKY+G           | -2144.94396     | 4299.88792      | 4299.97733878   | 4322.47627636  
F81+I           | -2150.30472     | 4308.60944      | 4308.66896381   | 4326.68012509  
HKY+I           | -2147.90064     | 4305.80128      | 4305.89069878   | 4328.38963636  
GTR             | -2228.40408     | 4472.80816      | 4473.02372886   | 4508.94953018  
SYM+G           | -2252.36875     | 4516.7375       | 4516.86287313   | 4543.84352764  
SYM+I+G         | -2249.16132     | 4512.32264      | 4512.49005405   | 4543.94633891  
SYM+I           | -2256.99244     | 4525.98488      | 4526.11025313   | 4553.09090764  
F81             | -2271.33243     | 4548.66486      | 4548.70052122   | 4562.21787382  
HKY             | -2270.82015     | 4549.6403       | 4549.69982381   | 4567.71098509  
JC+G            | -2361.91101     | 4725.82202      | 4725.82794593   | 4730.33969127  
JC+I+G          | -2359.00683     | 4722.01366      | 4722.03146415   | 4731.04900255  
K80+G           | -2359.93632     | 4723.87264      | 4723.89044415   | 4732.90798255  
K80+I+G         | -2357.31943     | 4720.63886      | 4720.67452122   | 4734.19187382  
JC+I            | -2364.55359     | 4731.10718      | 4731.11310593   | 4735.62485127  
K80+I           | -2362.45435     | 4728.9087       | 4728.92650415   | 4737.94404255  
SYM             | -2358.45208     | 4726.90416      | 4726.99357878   | 4749.49251636  
JC              | -2473.94305     | 4947.8861       | 4947.8861       | 4947.8861      
K80             | -2471.61031     | 4945.22062      | 4945.22654593   | 4949.73829127  
