Model selection results for subset: 4b566307819ea1c99d27f8e42abad243
Subset alignment stored here: ./analysis/phylofiles/4b566307819ea1c99d27f8e42abad243.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_WG_p3, alineamiento_CYTB_p2, alineamiento_WG_p2, alineamiento_WG_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -1719.69558     | 3457.39116      | 3457.65052599   | 3498.40216521  
GTR+I+G         | -1717.53379     | 3455.06758      | 3455.38504032   | 3500.63536356  
SYM+I           | -1734.43148     | 3480.86296      | 3480.9834765    | 3508.20363014  
SYM+I+G         | -1731.38772     | 3476.77544      | 3476.93635954   | 3508.67288849  
HKY+I           | -1739.76168     | 3489.52336      | 3489.60931989   | 3512.30725178  
GTR+G           | -1727.05166     | 3472.10332      | 3472.36268599   | 3513.11432521  
HKY+I+G         | -1737.64753     | 3487.29506      | 3487.4155765    | 3514.63573014  
SYM+G           | -1741.67323     | 3495.34646      | 3495.4669765    | 3522.68713014  
K80+I           | -1758.4461      | 3520.8922       | 3520.9093184    | 3530.00575671  
K80+I+G         | -1756.30508     | 3518.61016      | 3518.64444571   | 3532.28049507  
HKY+G           | -1752.29534     | 3514.59068      | 3514.67663989   | 3537.37457178  
K80+G           | -1770.00799     | 3544.01598      | 3544.0330984    | 3553.12953671  
F81+I           | -1774.61137     | 3557.22274      | 3557.27996461   | 3575.44985342  
F81+I+G         | -1773.06595     | 3556.1319       | 3556.21785989   | 3578.91579178  
JC+I            | -1789.39482     | 3580.78964      | 3580.79533801   | 3585.34641836  
JC+I+G          | -1787.60339     | 3579.20678      | 3579.2238984    | 3588.32033671  
F81+G           | -1786.28404     | 3580.56808      | 3580.62530461   | 3598.79519342  
JC+G            | -1800.77947     | 3603.55894      | 3603.56463801   | 3608.11571836  
GTR             | -1807.23492     | 3630.46984      | 3630.67703424   | 3666.92406685  
SYM             | -1820.63973     | 3651.27946      | 3651.36541989   | 3674.06335178  
HKY             | -1834.92182     | 3677.84364      | 3677.90086461   | 3696.07075342  
K80             | -1849.81522     | 3701.63044      | 3701.63613801   | 3706.18721836  
F81             | -1865.96149     | 3737.92298      | 3737.95726571   | 3751.59331507  
JC              | -1879.65178     | 3759.30356      | 3759.30356      | 3759.30356     
