Model selection results for subset: 4c0e5ceddef6d5fadf06aabaa45179af
Subset alignment stored here: ./analysis/phylofiles/4c0e5ceddef6d5fadf06aabaa45179af.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_CYTB_p2, alineamiento_COI_p2, alineamiento_16S_p3, alineamiento_16S_p1, alineamiento_WG_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -3141.54446     | 6303.08892      | 6303.31856509   | 6351.85156612  
GTR+G           | -3146.36014     | 6310.72028      | 6310.90797552   | 6354.60666151  
GTR+I           | -3149.76973     | 6317.53946      | 6317.72715552   | 6361.42584151  
HKY+I+G         | -3176.64693     | 6365.29386      | 6365.38117809   | 6394.55144767  
HKY+G           | -3182.39599     | 6374.79198      | 6374.8542853    | 6399.17330306  
HKY+I           | -3186.23726     | 6382.47452      | 6382.5368253    | 6406.85584306  
F81+I+G         | -3200.22491     | 6410.44982      | 6410.5121253    | 6434.83114306  
F81+G           | -3204.16354     | 6416.32708      | 6416.36857378   | 6435.83213845  
F81+I           | -3207.02223     | 6422.04446      | 6422.08595378   | 6441.54951845  
SYM+I+G         | -3278.35712     | 6570.71424      | 6570.83078527   | 6604.84809228  
SYM+G           | -3284.30711     | 6580.61422      | 6580.70153809   | 6609.87180767  
SYM+I           | -3290.29912     | 6592.59824      | 6592.68555809   | 6621.85582767  
GTR             | -3321.25132     | 6658.50264      | 6658.65264      | 6697.5127569   
HKY             | -3370.0668      | 6748.1336       | 6748.17509378   | 6767.63865845  
F81             | -3385.05377     | 6776.10754      | 6776.13241047   | 6790.73633384  
K80+I+G         | -3395.61737     | 6797.23474      | 6797.25961047   | 6811.86353384  
K80+G           | -3400.20688     | 6804.41376      | 6804.42618236   | 6814.16628922  
JC+I+G          | -3401.00613     | 6806.01226      | 6806.02468236   | 6815.76478922  
JC+G            | -3405.13683     | 6812.27366      | 6812.2777965    | 6817.14992461  
K80+I           | -3403.44276     | 6810.88552      | 6810.89794236   | 6820.63804922  
JC+I            | -3408.24496     | 6818.48992      | 6818.4940565    | 6823.36618461  
SYM             | -3450.27924     | 6910.55848      | 6910.6207853    | 6934.93980306  
K80             | -3567.87329     | 7137.74658      | 7137.7507165    | 7142.62284461  
JC              | -3572.39306     | 7144.78612      | 7144.78612      | 7144.78612     
