Model selection results for subset: 4c30308c5f97732a5d983dfa93553201
Subset alignment stored here: ./analysis/phylofiles/4c30308c5f97732a5d983dfa93553201.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_CYTB_p1, alineamiento_CYTB_p2, alineamiento_COI_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2863.589       | 5747.178        | 5747.54899494   | 5791.21374198  
GTR+G           | -2873.26844     | 5764.53688      | 5764.8399103    | 5804.16904778  
GTR+I           | -2874.84929     | 5767.69858      | 5768.0016103    | 5807.33074778  
HKY+I+G         | -2945.30243     | 5902.60486      | 5902.74556352   | 5929.02630519  
HKY+G           | -2950.89278     | 5911.78556      | 5911.88589445   | 5933.80343099  
HKY+I           | -2962.01686     | 5934.03372      | 5934.13405445   | 5956.05159099  
GTR             | -3024.67266     | 6065.34532      | 6065.58733681   | 6100.57391358  
SYM+G           | -3046.15172     | 6104.30344      | 6104.44414352   | 6130.72488519  
SYM+I+G         | -3043.38215     | 6100.7643       | 6100.95221946   | 6131.58931939  
SYM+I           | -3057.14489     | 6126.28978      | 6126.43048352   | 6152.71122519  
F81+G           | -3090.42815     | 6188.8563       | 6188.92307796   | 6206.47059679  
F81+I+G         | -3089.22393     | 6188.44786      | 6188.54819445   | 6210.46573099  
F81+I           | -3101.29931     | 6210.59862      | 6210.66539796   | 6228.21291679  
HKY             | -3152.91271     | 6313.82542      | 6313.89219796   | 6331.43971679  
SYM             | -3159.85676     | 6329.71352      | 6329.81385445   | 6351.73139099  
K80+G           | -3249.2056      | 6502.4112       | 6502.43116672   | 6511.2183484   
K80+I+G         | -3248.23169     | 6502.46338      | 6502.50338      | 6515.67410259  
F81             | -3250.6833      | 6507.3666       | 6507.4066       | 6520.57732259  
K80+I           | -3263.99533     | 6531.99066      | 6532.01062672   | 6540.7978084   
JC+G            | -3291.31105     | 6584.6221       | 6584.62874452   | 6589.0256742   
JC+I+G          | -3290.46171     | 6584.92342      | 6584.94338672   | 6593.7305684   
JC+I            | -3304.1813      | 6610.3626       | 6610.36924452   | 6614.7661742   
K80             | -3384.08992     | 6770.17984      | 6770.18648452   | 6774.5834142   
JC              | -3420.7467      | 6841.4934       | 6841.4934       | 6841.4934      
