Model selection results for subset: 4cdbf874835bf55da1a3805ed8330431
Subset alignment stored here: ./analysis/phylofiles/4cdbf874835bf55da1a3805ed8330431.phy
This subset contains the following data_blocks: (alineamiento_COI_p3, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
K80+I           | -453.41123      | 910.82246       | 910.864126667   | 918.169106534  
HKY+I           | -445.71515      | 901.4303        | 901.640826316   | 919.796916336  
K80+I+G         | -452.64955      | 911.2991        | 911.382723693   | 922.319069802  
HKY+I+G         | -444.93783      | 901.87566       | 902.171434648   | 923.915599603  
K80+G           | -459.73837      | 923.47674       | 923.518406667   | 930.823386534  
JC+I            | -463.65125      | 929.3025        | 929.31634083    | 932.975823267  
HKY+G           | -452.48888      | 914.97776       | 915.188286316   | 933.344376336  
K80             | -463.86695      | 929.7339        | 929.74774083    | 933.407223267  
F81+I           | -455.45432      | 918.90864       | 919.04850014    | 933.601933069  
SYM+I           | -450.58985      | 913.1797        | 913.475474648   | 935.219639603  
HKY             | -456.66184      | 921.32368       | 921.46354014    | 936.016973069  
GTR+I           | -443.1216       | 904.2432        | 904.883769395   | 937.303109405  
F81+I+G         | -454.859        | 919.718         | 919.928526316   | 938.084616336  
JC+I+G          | -463.50531      | 931.01062       | 931.052286667   | 938.357266534  
SYM+I+G         | -449.86725      | 913.7345        | 914.130259717   | 939.44776287   
GTR+I+G         | -442.34198      | 904.68396       | 905.469674286   | 941.417192672  
JC+G            | -468.59053      | 939.18106       | 939.19490083    | 942.854383267  
SYM+G           | -455.43152      | 922.86304       | 923.158814648   | 944.902979603  
F81+G           | -461.24286      | 930.48572       | 930.62558014    | 945.179013069  
JC              | -472.66911      | 945.33822       | 945.33822       | 945.33822      
SYM             | -459.55851      | 929.11702       | 929.327546316   | 947.483636336  
F81             | -465.36732      | 936.73464       | 936.818263693   | 947.754609802  
GTR+G           | -448.93438      | 915.86876       | 916.509329395   | 948.928669405  
GTR             | -453.30713      | 922.61426       | 923.124898298   | 952.000846137  
