Model selection results for subset: 524e6d444bfbafc9e254492aeab2c2bf
Subset alignment stored here: ./analysis/phylofiles/524e6d444bfbafc9e254492aeab2c2bf.phy
This subset contains the following data_blocks: (alineamiento_16S)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1781.55815     | 3581.1163       | 3581.46046826   | 3619.62299282  
GTR+I+G         | -1780.30901     | 3580.61802      | 3581.03947594   | 3623.40323424  
GTR+I           | -1785.08833     | 3588.17666      | 3588.52082826   | 3626.68335282  
TIM+G           | -1793.0761      | 3600.1522       | 3600.36553333   | 3630.10184997  
TIM+I+G         | -1790.26169     | 3596.52338      | 3596.79818916   | 3630.75155139  
TVM+G           | -1791.24577     | 3598.49154      | 3598.76634916   | 3632.71971139  
TVM+I+G         | -1790.05676     | 3598.11352      | 3598.45768826   | 3636.62021282  
TIM+I           | -1796.90593     | 3607.81186      | 3608.02519333   | 3637.76150997  
TVM+I           | -1794.18076     | 3604.36152      | 3604.63632916   | 3638.58969139  
K81uf+G         | -1800.4704      | 3612.9408       | 3613.10049582   | 3638.61192854  
K81uf+I+G       | -1798.36966     | 3610.73932      | 3610.95265333   | 3640.68896997  
TrN+G           | -1803.91072     | 3619.82144      | 3619.98113582   | 3645.49256854  
K81uf+I         | -1804.11457     | 3620.22914      | 3620.38883582   | 3645.90026854  
TrN+I+G         | -1801.11303     | 3616.22606      | 3616.43939333   | 3646.17570997  
F81+G           | -1811.67978     | 3631.35956      | 3631.43531758   | 3648.4736457   
HKY+G           | -1808.99868     | 3627.99736      | 3628.11121199   | 3649.38996712  
HKY+I+G         | -1806.66163     | 3625.32326      | 3625.48295582   | 3650.99438854  
F81+I+G         | -1809.81468     | 3629.62936      | 3629.74321199   | 3651.02196712  
TrN+I           | -1807.90422     | 3627.80844      | 3627.96813582   | 3653.47956854  
F81+I           | -1815.36822     | 3638.73644      | 3638.81219758   | 3655.8505257   
HKY+I           | -1813.3095      | 3636.619        | 3636.73285199   | 3658.01160712  
GTR             | -1893.74168     | 3803.48336      | 3803.75816916   | 3837.71153139  
TIM             | -1905.99896     | 3823.99792      | 3824.15761582   | 3849.66904854  
TVM             | -1905.17964     | 3824.35928      | 3824.57261333   | 3854.30892997  
SYM+G           | -1913.40713     | 3838.81426      | 3838.97395582   | 3864.48538854  
SYM+I+G         | -1910.76439     | 3835.52878      | 3835.74211333   | 3865.47842997  
K81uf           | -1917.91273     | 3845.82546      | 3845.93931199   | 3867.21806712  
SYM+I           | -1918.50344     | 3849.00688      | 3849.16657582   | 3874.67800854  
TrN             | -1925.05942     | 3860.11884      | 3860.23269199   | 3881.51144712  
TVMef+G         | -1930.3776      | 3870.7552       | 3870.86905199   | 3892.14780712  
F81             | -1937.04045     | 3880.0809       | 3880.12626862   | 3892.91646427  
TVMef+I+G       | -1929.58108     | 3871.16216      | 3871.32185582   | 3896.83328854  
HKY             | -1936.58756     | 3881.17512      | 3881.25087758   | 3898.2892057   
TVMef+I         | -1934.13947     | 3878.27894      | 3878.39279199   | 3899.67154712  
TIMef+I+G       | -1946.84002     | 3903.68004      | 3903.79389199   | 3925.07264712  
TIMef+G         | -1950.04493     | 3908.08986      | 3908.16561758   | 3925.2039457   
TIMef+I         | -1954.59355     | 3917.1871       | 3917.26285758   | 3934.3011857   
K81+I+G         | -1965.2081      | 3938.4162       | 3938.49195758   | 3955.5302857   
K81+G           | -1968.37931     | 3942.75862      | 3942.80398862   | 3955.59418427  
K81+I           | -1971.99063     | 3949.98126      | 3950.02662862   | 3962.81682427  
TrNef+G         | -2020.20972     | 4046.41944      | 4046.46480862   | 4059.25500427  
TrNef+I+G       | -2018.53747     | 4045.07494      | 4045.15069758   | 4062.1890257   
SYM             | -2015.81989     | 4041.63978      | 4041.75363199   | 4063.03238712  
TrNef+I         | -2023.94274     | 4053.88548      | 4053.93084862   | 4066.72104427  
JC+G            | -2037.95728     | 4077.91456      | 4077.92209296   | 4082.19308142  
K80+G           | -2035.37073     | 4074.74146      | 4074.76410151   | 4083.29850285  
JC+I+G          | -2035.90919     | 4075.81838      | 4075.84102151   | 4084.37542285  
K80+I+G         | -2033.66867     | 4073.33734      | 4073.38270862   | 4086.17290427  
JC+I            | -2041.32534     | 4084.65068      | 4084.65821296   | 4088.92920142  
K80+I           | -2038.5227      | 4081.0454       | 4081.06804151   | 4089.60244285  
TVMef           | -2037.58269     | 4083.16538      | 4083.24113758   | 4100.2794657   
TIMef           | -2057.02901     | 4120.05802      | 4120.10338862   | 4132.89358427  
K81             | -2079.65779     | 4163.31558      | 4163.33822151   | 4171.87262285  
TrNef           | -2122.00025     | 4248.0005       | 4248.02314151   | 4256.55754285  
JC              | -2146.36177     | 4292.72354      | 4292.72354      | 4292.72354     
K80             | -2143.3748      | 4288.7496       | 4288.75713296   | 4293.02812142  
