Model selection results for subset: 52e8054aac2c232c7a392195fbdea028
Subset alignment stored here: ./analysis/phylofiles/52e8054aac2c232c7a392195fbdea028.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_CYTB_p3, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2219.74256     | 4459.48512      | 4459.98970716   | 4500.51070595  
GTR+I           | -2224.65318     | 4467.30636      | 4467.71825931   | 4504.22938735  
GTR+G           | -2224.97612     | 4467.95224      | 4468.36413931   | 4504.87526735  
HKY+I+G         | -2243.21121     | 4498.42242      | 4498.61332909   | 4523.03777157  
HKY+G           | -2246.40224     | 4502.80448      | 4502.94053442   | 4523.31727297  
HKY+I           | -2249.16645     | 4508.3329       | 4508.46895442   | 4528.84569297  
GTR             | -2303.54188     | 4623.08376      | 4623.41252712   | 4655.90422876  
HKY             | -2338.95655     | 4685.9131       | 4686.00359774   | 4702.32333438  
F81+G           | -2363.8774      | 4735.7548       | 4735.84529774   | 4752.16503438  
F81+I+G         | -2363.9488      | 4737.8976       | 4738.03365442   | 4758.41039297  
F81+I           | -2380.91853     | 4769.83706      | 4769.92755774   | 4786.24729438  
SYM+G           | -2417.57724     | 4847.15448      | 4847.34538909   | 4871.76983157  
SYM+I+G         | -2416.90167     | 4847.80334      | 4848.05846528   | 4876.52125016  
SYM+I           | -2430.31277     | 4872.62554      | 4872.81644909   | 4897.24089157  
F81             | -2446.08713     | 4898.17426      | 4898.22843607   | 4910.48193578  
SYM             | -2481.1746      | 4972.3492       | 4972.48525442   | 4992.86199297  
K80+G           | -2590.05548     | 5184.11096      | 5184.13798703   | 5192.31607719  
K80+I+G         | -2590.04668     | 5186.09336      | 5186.14753607   | 5198.40103578  
K80+I           | -2605.55024     | 5215.10048      | 5215.12750703   | 5223.30559719  
JC+G            | -2615.09794     | 5232.19588      | 5232.20486876   | 5236.29843859  
JC+I+G          | -2615.08577     | 5234.17154      | 5234.19856703   | 5242.37665719  
JC+I            | -2628.90557     | 5259.81114      | 5259.82012876   | 5263.91369859  
K80             | -2655.28488     | 5312.56976      | 5312.57874876   | 5316.67231859  
JC              | -2676.11811     | 5352.23622      | 5352.23622      | 5352.23622     
