Model selection results for subset: 54ae755dd42627d8b5c1671295eb59cd
Subset alignment stored here: ./analysis/phylofiles/54ae755dd42627d8b5c1671295eb59cd.phy
This subset contains the following data_blocks: (alineamiento_WG_p2, alineamiento_COI_p3, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+I           | -781.83024      | 1571.66048      | 1571.75350326   | 1587.96186412  
HKY+I           | -779.57924      | 1569.15848      | 1569.29834014   | 1589.53521016  
GTR+I           | -768.04009      | 1554.08018      | 1554.50370941   | 1590.75829428  
F81+I+G         | -781.70209      | 1573.40418      | 1573.54404014   | 1593.78091016  
HKY+I+G         | -779.16123      | 1570.32246      | 1570.51872168   | 1594.77453619  
GTR+I+G         | -767.67729      | 1555.35458      | 1555.87344792   | 1596.10804031  
SYM+I           | -785.86401      | 1583.72802      | 1583.92428168   | 1608.18009619  
K80+I           | -799.59013      | 1603.18026      | 1603.20803778   | 1611.33095206  
JC+I            | -802.97182      | 1607.94364      | 1607.95287788   | 1612.01898603  
SYM+I+G         | -785.32681      | 1584.65362      | 1584.91591508   | 1613.18104222  
GTR+G           | -779.38876      | 1576.77752      | 1577.20104941   | 1613.45563428  
F81+G           | -794.6621       | 1597.3242       | 1597.41722326   | 1613.62558412  
HKY+G           | -792.49513      | 1594.99026      | 1595.13012014   | 1615.36699016  
K80+I+G         | -799.21114      | 1604.42228      | 1604.47796445   | 1616.64831809  
JC+I+G          | -802.61702      | 1609.23404      | 1609.26181778   | 1617.38473206  
SYM+G           | -796.43975      | 1604.8795       | 1605.07576168   | 1629.33157619  
F81             | -807.838        | 1621.676        | 1621.73168445   | 1633.90203809  
JC+G            | -814.06337      | 1630.12674      | 1630.13597788   | 1634.20208603  
GTR             | -793.28213      | 1602.56426      | 1602.90228817   | 1635.16702825  
K80+G           | -811.52414      | 1627.04828      | 1627.07605778   | 1635.19897206  
HKY             | -805.73104      | 1619.46208      | 1619.55510326   | 1635.76346412  
SYM             | -809.86604      | 1629.73208      | 1629.87194014   | 1650.10881016  
JC              | -826.97306      | 1653.94612      | 1653.94612      | 1653.94612     
K80             | -824.5354       | 1651.0708       | 1651.08003788   | 1655.14614603  
