Model selection results for subset: 5643bf16c79b9e795fbb865f39ae8b87
Subset alignment stored here: ./analysis/phylofiles/5643bf16c79b9e795fbb865f39ae8b87.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1560.85217     | 3139.70434      | 3140.32077836   | 3173.09818316  
GTR+I+G         | -1560.19438     | 3140.38876      | 3141.14477375   | 3177.49303017  
GTR+I           | -1567.72926     | 3153.45852      | 3154.07495836   | 3186.85236316  
HKY+G           | -1581.71319     | 3173.42638      | 3173.6290827    | 3191.97851509  
HKY+I+G         | -1581.34673     | 3174.69346      | 3174.97820576   | 3196.9560221   
HKY+I           | -1591.62636     | 3193.25272      | 3193.4554227    | 3211.80485509  
F81+G           | -1628.51206     | 3265.02412      | 3265.15880013   | 3279.86582807  
F81+I+G         | -1628.44983     | 3266.89966      | 3267.1023627    | 3285.45179509  
GTR             | -1623.04153     | 3262.08306      | 3262.57452758   | 3291.76647614  
F81+I           | -1643.65148     | 3295.30296      | 3295.43764013   | 3310.14466807  
HKY             | -1651.34216     | 3310.68432      | 3310.81900013   | 3325.52602807  
SYM+G           | -1659.63199     | 3331.26398      | 3331.54872576   | 3353.5265421   
SYM+I+G         | -1659.01779     | 3332.03558      | 3332.41653238   | 3358.00856912  
SYM+I           | -1669.31873     | 3350.63746      | 3350.92220576   | 3372.9000221   
F81             | -1689.44173     | 3384.88346      | 3384.96399691   | 3396.01474105  
SYM             | -1704.84517     | 3419.69034      | 3419.8930427    | 3438.24247509  
K80+G           | -1776.43854     | 3556.87708      | 3556.91721378   | 3564.29793403  
K80+I+G         | -1776.37044     | 3558.74088      | 3558.82141691   | 3569.87216105  
JC+G            | -1783.40043     | 3568.80086      | 3568.81419333   | 3572.51128702  
JC+I+G          | -1783.39967     | 3570.79934      | 3570.83947378   | 3578.22019403  
K80+I           | -1787.63166     | 3579.26332      | 3579.30345378   | 3586.68417403  
JC+I            | -1793.94764     | 3589.89528      | 3589.90861333   | 3593.60570702  
K80             | -1822.61474     | 3647.22948      | 3647.24281333   | 3650.93990702  
JC              | -1828.15067     | 3656.30134      | 3656.30134      | 3656.30134     
