Model selection results for subset: 57948c4a5b61b68a58079f37eb4db8e6
Subset alignment stored here: ./analysis/phylofiles/57948c4a5b61b68a58079f37eb4db8e6.phy
This subset contains the following data_blocks: (alineamiento_WG_p2, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
JC+I            | -385.50821      | 773.01642       | 773.031457594   | 776.607406981  
JC+I+G          | -384.84824      | 773.69648       | 773.741763019   | 780.878453961  
K80+I           | -384.8829       | 773.7658        | 773.811083019   | 780.947773961  
F81+I           | -380.39052      | 768.78104       | 768.933131255   | 783.144987922  
K80+I+G         | -384.2561       | 774.5122        | 774.603109091   | 785.285160942  
HKY+I           | -379.65049      | 769.30098       | 769.529987634   | 787.255914903  
F81+I+G         | -379.72274      | 769.44548       | 769.674487634   | 787.400414903  
HKY+I+G         | -379.03414      | 770.06828       | 770.39011908    | 791.614201883  
JC+G            | -393.14841      | 788.29682       | 788.311857594   | 791.887806981  
JC              | -395.94758      | 791.89516       | 791.89516       | 791.89516      
K80             | -394.73391      | 791.46782       | 791.482857594   | 795.058806981  
K80+G           | -391.94017      | 787.88034       | 787.925623019   | 795.062313961  
SYM+I           | -381.52126      | 775.04252       | 775.36435908    | 796.588441883  
F81+G           | -388.08695      | 784.1739        | 784.325991255   | 798.537847922  
F81             | -390.88681      | 787.77362       | 787.864529091   | 798.546580942  
HKY+G           | -386.79544      | 783.59088       | 783.819887634   | 801.545814903  
HKY             | -389.59114      | 787.18228       | 787.334371255   | 801.546227922  
SYM+I+G         | -381.46462      | 776.92924       | 777.360009231   | 802.066148864  
GTR+I           | -376.35923      | 770.71846       | 771.416134419   | 803.037342825  
SYM+G           | -387.84307      | 787.68614       | 788.00797908    | 809.232061883  
SYM             | -390.67712      | 791.35424       | 791.583247634   | 809.309174903  
GTR+I+G         | -376.74495      | 773.4899        | 774.345931128   | 809.399769805  
GTR+G           | -382.78837      | 783.57674       | 784.274414419   | 815.895622825  
GTR             | -385.63503      | 787.27006       | 787.826044556   | 815.997955844  
