Model selection results for subset: 59ad06f5e66e928d402f2fb19811e939
Subset alignment stored here: ./analysis/phylofiles/59ad06f5e66e928d402f2fb19811e939.phy
This subset contains the following data_blocks: (alineamiento_WG_p2, alineamiento_COI_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
K80+I           | -470.41716      | 944.83432       | 944.875986667   | 952.180966534  
K80+I+G         | -469.36704      | 944.73408       | 944.817703693   | 955.754049802  
JC+I            | -475.526        | 953.052         | 953.06584083    | 956.725323267  
HKY+I           | -465.06595      | 940.1319        | 940.342426316   | 958.498516336  
JC+I+G          | -474.99573      | 953.99146       | 954.033126667   | 961.338106534  
F81+I           | -469.40051      | 946.80102       | 946.94088014    | 961.494313069  
SYM+I           | -463.8476       | 939.6952        | 939.990974648   | 961.735139603  
HKY+I+G         | -463.93796      | 939.87592       | 940.171694648   | 961.915859603  
F81+I+G         | -468.58118      | 947.16236       | 947.372886316   | 965.528976336  
SYM+I+G         | -463.00238      | 940.00476       | 940.400519717   | 965.71802287   
GTR+I           | -458.92399      | 935.84798       | 936.488549395   | 968.907889405  
K80+G           | -480.64596      | 965.29192       | 965.333586667   | 972.638566534  
GTR+I+G         | -458.06932      | 936.13864       | 936.924354286   | 972.871872672  
JC+G            | -484.28055      | 970.5611        | 970.57494083    | 974.234423267  
SYM+G           | -471.95218      | 955.90436       | 956.200134648   | 977.944299603  
HKY+G           | -475.64665      | 961.2933        | 961.503826316   | 979.659916336  
F81+G           | -479.0591       | 966.1182        | 966.25806014    | 980.811493069  
K80             | -487.62612      | 977.25224       | 977.26608083    | 980.925563267  
JC              | -491.20181      | 982.40362       | 982.40362       | 982.40362      
GTR+G           | -467.62703      | 953.25406       | 953.894629395   | 986.313969405  
SYM             | -478.98165      | 967.9633        | 968.173826316   | 986.329916336  
HKY             | -482.6537       | 973.3074        | 973.44726014    | 988.000693069  
F81             | -486.03131      | 978.06262       | 978.146243693   | 989.082589802  
GTR             | -474.81437      | 965.62874       | 966.139378298   | 995.015326137  
