Model selection results for subset: 5becabedcc9e2bae0e5ab7bf6c6df5bb
Subset alignment stored here: ./analysis/phylofiles/5becabedcc9e2bae0e5ab7bf6c6df5bb.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1195.40211     | 2408.80422      | 2409.32595913   | 2443.65328011  
GTR+I           | -1196.69035     | 2411.3807       | 2411.90243913   | 2446.22976011  
GTR+I+G         | -1195.24154     | 2410.48308      | 2411.12261488   | 2449.20425789  
HKY+G           | -1210.1969      | 2430.3938       | 2430.56571977   | 2449.75438895  
F81+G           | -1213.22066     | 2434.44132      | 2434.55560571   | 2449.92979116  
HKY+I+G         | -1208.84445     | 2429.6889       | 2429.93027931   | 2452.92160674  
F81+I           | -1214.81267     | 2437.62534      | 2437.73962571   | 2453.11381116  
HKY+I           | -1212.18228     | 2434.36456      | 2434.53647977   | 2453.72514895  
F81+I+G         | -1212.83387     | 2435.66774      | 2435.83965977   | 2455.02832895  
GTR             | -1263.63584     | 2543.27168      | 2543.68786497   | 2574.24862232  
F81             | -1289.82251     | 2585.64502      | 2585.71339607   | 2597.26137337  
HKY             | -1288.82171     | 2585.64342      | 2585.75770571   | 2601.13189116  
SYM+G           | -1284.41509     | 2580.83018      | 2581.07155931   | 2604.06288674  
SYM+I+G         | -1282.85706     | 2579.71412      | 2580.03688657   | 2606.81894453  
SYM+I           | -1286.71725     | 2585.4345       | 2585.67587931   | 2608.66720674  
SYM             | -1347.59666     | 2705.19332      | 2705.36523977   | 2724.55390895  
JC+G            | -1368.19907     | 2738.39814      | 2738.40947144   | 2742.27025779  
JC+I            | -1369.82049     | 2741.64098      | 2741.65231144   | 2745.51309779  
K80+G           | -1367.3629      | 2738.7258       | 2738.75989091   | 2746.47003558  
JC+I+G          | -1367.37544     | 2738.75088      | 2738.78497091   | 2746.49511558  
K80+I           | -1368.90338     | 2741.80676      | 2741.84085091   | 2749.55099558  
K80+I+G         | -1366.8115      | 2739.623        | 2739.69137607   | 2751.23935337  
JC              | -1435.10892     | 2870.21784      | 2870.21784      | 2870.21784     
K80             | -1434.11645     | 2870.2329       | 2870.24423144   | 2874.10501779  
