Model selection results for subset: 5d71996b5d42996de6400eed05e32172
Subset alignment stored here: ./analysis/phylofiles/5d71996b5d42996de6400eed05e32172.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_WG_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -836.42441      | 1690.84882      | 1691.44682664   | 1724.50695621  
GTR+I+G         | -835.27292      | 1690.54584      | 1691.27917333   | 1727.94376912  
GTR+G           | -839.57326      | 1697.14652      | 1697.74452664   | 1730.80465621  
F81+I           | -855.69413      | 1719.38826      | 1719.51897895   | 1734.34743165  
F81+I+G         | -854.77709      | 1719.55418      | 1719.75090131   | 1738.25314456  
HKY+I           | -855.57942      | 1721.15884      | 1721.35556131   | 1739.85780456  
HKY+I+G         | -854.69633      | 1721.39266      | 1721.66897579   | 1743.83141747  
F81+G           | -862.36521      | 1732.73042      | 1732.86113895   | 1747.68959165  
SYM+I           | -858.9523       | 1729.9046       | 1730.18091579   | 1752.34335747  
SYM+I+G         | -856.41965      | 1726.8393       | 1727.20893696   | 1753.01785039  
HKY+G           | -862.17115      | 1734.3423       | 1734.53902131   | 1753.04126456  
SYM+G           | -860.4424       | 1732.8848       | 1733.16111579   | 1755.32355747  
JC+I            | -899.29539      | 1800.59078      | 1800.60372498   | 1804.33057291  
K80+I           | -898.04146      | 1800.08292      | 1800.12188104   | 1807.56250582  
JC+I+G          | -898.3149       | 1800.6298       | 1800.66876104   | 1808.10938582  
K80+I+G         | -897.12001      | 1800.24002      | 1800.3181959    | 1811.45939874  
JC+G            | -904.73375      | 1811.4675       | 1811.48044498   | 1815.20729291  
K80+G           | -903.4204       | 1810.8408       | 1810.87976104   | 1818.32038582  
GTR             | -902.48119      | 1820.96238      | 1821.43920119   | 1850.8807233   
SYM             | -918.61967      | 1847.23934      | 1847.43606131   | 1865.93830456  
F81             | -934.02166      | 1874.04332      | 1874.1214959    | 1885.26269874  
HKY             | -933.13838      | 1874.27676      | 1874.40747895   | 1889.23593165  
JC              | -968.90919      | 1937.81838      | 1937.81838      | 1937.81838     
K80             | -967.48214      | 1936.96428      | 1936.97722498   | 1940.70407291  
