Model selection results for subset: 604d2f22a9340b0a94f06ae4beb5a847
Subset alignment stored here: ./analysis/phylofiles/604d2f22a9340b0a94f06ae4beb5a847.phy
This subset contains the following data_blocks: (alineamiento_WG)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
K80+I           | -771.55274      | 1547.10548      | 1547.13548      | 1555.10335312  
K80+I+G         | -770.85767      | 1547.71534      | 1547.77549038   | 1559.71214969  
K81+I           | -771.13775      | 1548.2755       | 1548.33565038   | 1560.27230969  
TrNef+I         | -771.55327      | 1549.10654      | 1549.16669038   | 1561.10334969  
K81+I+G         | -770.62339      | 1549.24678      | 1549.34728251   | 1565.24252625  
TVMef+I         | -767.7426       | 1545.4852       | 1545.6363335    | 1565.47988281  
TrNef+I+G       | -770.83742      | 1549.67484      | 1549.77534251   | 1565.67058625  
TIMef+I         | -771.10782      | 1550.21564      | 1550.31614251   | 1566.21138625  
HKY+I           | -769.34577      | 1548.69154      | 1548.8426735    | 1568.68622281  
JC+I            | -782.12276      | 1566.24552      | 1566.25549506   | 1570.24445656  
TVMef+I+G       | -767.13922      | 1546.27844      | 1546.49056121   | 1570.27205937  
TIMef+I+G       | -770.60616      | 1551.21232      | 1551.3634535    | 1571.20700281  
SYM+I           | -767.68887      | 1547.37774      | 1547.58986121   | 1571.37135937  
HKY+I+G         | -768.66508      | 1549.33016      | 1549.54228121   | 1573.32377937  
K81uf+I         | -768.96179      | 1549.92358      | 1550.13570121   | 1573.91719937  
K80+G           | -781.14221      | 1566.28442      | 1566.31442      | 1574.28229312  
TrN+I           | -769.39236      | 1550.78472      | 1550.99684121   | 1574.77833937  
JC+I+G          | -781.93744      | 1567.87488      | 1567.90488      | 1575.87275312  
SYM+I+G         | -767.0928       | 1548.1856       | 1548.4691443    | 1576.17815593  
K81uf+I+G       | -768.43956      | 1550.87912      | 1551.1626643    | 1578.87167593  
K81+G           | -780.64234      | 1567.28468      | 1567.34483038   | 1579.28148969  
TrN+I+G         | -768.66255      | 1551.3251       | 1551.6086443    | 1579.31765593  
TVM+I           | -765.77134      | 1547.54268      | 1547.90816223   | 1579.5341725   
TIM+I           | -768.95848      | 1551.91696      | 1552.2005043    | 1579.90951593  
TrNef+G         | -781.13535      | 1568.2707       | 1568.33085038   | 1580.26750969  
TVMef+G         | -776.63163      | 1563.26326      | 1563.4143935    | 1583.25794281  
F81+I           | -779.99078      | 1567.98156      | 1568.08206251   | 1583.97730625  
TVM+I+G         | -765.19069      | 1548.38138      | 1548.83939527   | 1584.37180906  
TIM+I+G         | -768.43622      | 1552.87244      | 1553.23792223   | 1584.8639325   
TIMef+G         | -780.63551      | 1569.27102      | 1569.37152251   | 1585.26676625  
GTR+I           | -765.77218      | 1549.54436      | 1550.00237527   | 1585.53478906  
HKY+G           | -779.0649       | 1568.1298       | 1568.2809335    | 1588.12448281  
JC+G            | -791.20246      | 1584.40492      | 1584.41489506   | 1588.40385656  
SYM+G           | -776.6285       | 1565.257        | 1565.46912121   | 1589.25061937  
F81+I+G         | -779.79112      | 1569.58224      | 1569.7333735    | 1589.57692281  
GTR+I+G         | -765.19131      | 1550.38262      | 1550.94384449   | 1590.37198562  
K81uf+G         | -778.56133      | 1569.12266      | 1569.33478121   | 1593.11627937  
TrN+G           | -778.95242      | 1569.90484      | 1570.11696121   | 1593.89845937  
TVM+G           | -774.73426      | 1565.46852      | 1565.83400223   | 1597.4600125   
TIM+G           | -778.4497       | 1570.8994       | 1571.1829443    | 1598.89195593  
K80             | -797.24419      | 1596.48838      | 1596.49835506   | 1600.48731656  
F81+G           | -789.03746      | 1586.07492      | 1586.17542251   | 1602.07066625  
GTR+G           | -774.62777      | 1567.25554      | 1567.71355527   | 1603.24596906  
K81             | -796.7361       | 1597.4722       | 1597.5022       | 1605.47007312  
TrNef           | -797.22683      | 1598.45366      | 1598.48366      | 1606.45153312  
TVMef           | -792.59727      | 1593.19454      | 1593.29504251   | 1609.19028625  
TIMef           | -796.71874      | 1599.43748      | 1599.49763038   | 1611.43428969  
JC              | -807.1826       | 1614.3652       | 1614.3652       | 1614.3652      
HKY             | -795.19914      | 1598.39828      | 1598.49878251   | 1614.39402625  
SYM             | -792.58098      | 1595.16196      | 1595.3130935    | 1615.15664281  
K81uf           | -794.68422      | 1599.36844      | 1599.5195735    | 1619.36312281  
TrN             | -795.03738      | 1600.07476      | 1600.2258935    | 1620.06944281  
TVM             | -790.6829       | 1595.3658       | 1595.6493443    | 1623.35835593  
TIM             | -794.52264      | 1601.04528      | 1601.25740121   | 1625.03889937  
F81             | -805.00915      | 1616.0183       | 1616.07845038   | 1628.01510969  
GTR             | -790.52426      | 1597.04852      | 1597.41400223   | 1629.0400125   
