Model selection results for subset: 60773d7425d16d5ced67516639a63596
Subset alignment stored here: ./analysis/phylofiles/60773d7425d16d5ced67516639a63596.phy
This subset contains the following data_blocks: (alineamiento_WG_p2, alineamiento_WG_p3, alineamiento_COI_p3, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+I           | -980.69715      | 1969.3943       | 1969.46522199   | 1986.76982174  
GTR+I           | -965.00054      | 1948.00108      | 1948.32308358   | 1987.09600391  
HKY+I           | -977.71329      | 1965.42658      | 1965.53315194   | 1987.14598217  
SYM+I           | -976.59061      | 1965.18122      | 1965.33068619   | 1991.2445026   
GTR+I+G         | -964.27331      | 1948.54662      | 1948.94088523   | 1991.98542434  
HKY+I+G         | -977.10853      | 1966.21706      | 1966.36652619   | 1992.2803426   
F81+I+G         | -980.28133      | 1970.56266      | 1970.66923194   | 1992.28206217  
K80+I           | -990.841        | 1985.682        | 1985.70320141   | 1994.36976087  
JC+I            | -994.22152      | 1990.44304      | 1990.45009467   | 1994.78692043  
SYM+I+G         | -976.66624      | 1967.33248      | 1967.53212349   | 1997.73964304  
K80+I+G         | -990.29742      | 1986.59484      | 1986.63731788   | 1999.6264813   
JC+I+G          | -993.83703      | 1991.67406      | 1991.69526141   | 2000.36182087  
GTR+G           | -978.7061       | 1975.4122       | 1975.73420358   | 2014.50712391  
SYM+G           | -989.52865      | 1991.0573       | 1991.20676619   | 2017.1205826   
F81+G           | -995.9393       | 1999.8786       | 1999.94952199   | 2017.25412174  
HKY+G           | -993.4455       | 1996.891        | 1996.99757194   | 2018.61040217  
JC+G            | -1008.08886     | 2018.17772      | 2018.18477467   | 2022.52160043  
K80+G           | -1005.5876      | 2015.1752       | 2015.19640141   | 2023.86296087  
GTR             | -992.20202      | 2000.40404      | 2000.66118286   | 2035.15508347  
F81             | -1008.87597     | 2023.75194      | 2023.79441788   | 2036.7835813   
SYM             | -1002.68618     | 2015.37236      | 2015.47893194   | 2037.09176217  
HKY             | -1006.44433     | 2020.88866      | 2020.95958199   | 2038.26418174  
JC              | -1020.89502     | 2041.79004      | 2041.79004      | 2041.79004     
K80             | -1018.46334     | 2038.92668      | 2038.93373467   | 2043.27056043  
