Model selection results for subset: 616a87322e3dcb0c4e2a9adae0717bc6
Subset alignment stored here: ./analysis/phylofiles/616a87322e3dcb0c4e2a9adae0717bc6.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_16S_p1, alineamiento_WG_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -1428.77042     | 2877.54084      | 2878.00109105   | 2919.46446489  
GTR+I           | -1432.44607     | 2882.89214      | 2883.26792288   | 2920.62340241  
GTR+G           | -1433.45757     | 2884.91514      | 2885.29092288   | 2922.64640241  
F81+I+G         | -1461.58381     | 2933.16762      | 2933.2918436    | 2954.12943245  
F81+I           | -1465.75001     | 2939.50002      | 2939.58266463   | 2956.26946996  
HKY+I+G         | -1461.5638      | 2935.1276       | 2935.30187386   | 2960.28177494  
HKY+I           | -1465.65411     | 2941.30822      | 2941.4324436    | 2962.27003245  
F81+G           | -1469.0215      | 2946.043        | 2946.12564463   | 2962.81244996  
HKY+G           | -1468.89794     | 2947.79588      | 2947.9201036    | 2968.75769245  
SYM+I+G         | -1486.03139     | 2986.06278      | 2986.29562823   | 3015.40931743  
SYM+G           | -1491.44523     | 2994.89046      | 2995.06473386   | 3020.04463494  
SYM+I           | -1492.51492     | 2997.02984      | 2997.20411386   | 3022.18401494  
GTR             | -1542.4067      | 3100.8134       | 3101.1134       | 3134.35229992  
K80+I+G         | -1566.40444     | 3138.80888      | 3138.85836454   | 3151.38596747  
JC+I+G          | -1569.50192     | 3143.00384      | 3143.02853136   | 3151.38856498  
K80+I           | -1570.29477     | 3144.58954      | 3144.61423136   | 3152.97426498  
JC+I            | -1573.91626     | 3149.83252      | 3149.84073355   | 3154.02488249  
K80+G           | -1572.49692     | 3148.99384      | 3149.01853136   | 3157.37856498  
JC+G            | -1576.16169     | 3154.32338      | 3154.33159355   | 3158.51574249  
F81             | -1592.8146      | 3191.6292       | 3191.67868454   | 3204.20628747  
HKY             | -1591.4809      | 3190.9618       | 3191.04444463   | 3207.73124996  
SYM             | -1589.16969     | 3188.33938      | 3188.4636036    | 3209.30119245  
K80             | -1680.17879     | 3362.35758      | 3362.36579355   | 3366.54994249  
JC              | -1684.07652     | 3368.15304      | 3368.15304      | 3368.15304     
