Model selection results for subset: 64b5f5d4b42c1772c8e9455747234f6c
Subset alignment stored here: ./analysis/phylofiles/64b5f5d4b42c1772c8e9455747234f6c.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_WG_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -1520.50801     | 3061.01602      | 3061.79893815   | 3097.78355802  
GTR+I           | -1525.08365     | 3068.1673       | 3068.80559787   | 3101.25808422  
GTR+G           | -1526.48971     | 3070.97942      | 3071.61771787   | 3104.07020422  
SYM+G           | -1568.37034     | 3148.74068      | 3149.03541684   | 3170.80120281  
SYM+I+G         | -1566.37509     | 3146.75018      | 3147.1445462    | 3172.48745662  
SYM+I           | -1576.89332     | 3165.78664      | 3166.08137684   | 3187.84716281  
HKY+G           | -1618.24174     | 3246.48348      | 3246.69327021   | 3264.86724901  
HKY+I+G         | -1615.51326     | 3243.02652      | 3243.32125684   | 3265.08704281  
HKY+I           | -1621.79781     | 3253.59562      | 3253.80541021   | 3271.97938901  
GTR             | -1625.95397     | 3267.90794      | 3268.41677392   | 3297.32197042  
SYM             | -1636.56357     | 3283.12714      | 3283.33693021   | 3301.51090901  
F81+G           | -1649.93282     | 3307.86564      | 3308.00501282   | 3322.57265521  
F81+I+G         | -1648.60311     | 3307.20622      | 3307.41601021   | 3325.58998901  
F81+I           | -1656.14032     | 3320.28064      | 3320.42001282   | 3334.98765521  
K80+G           | -1704.84273     | 3413.68546      | 3413.72698249   | 3421.0389676   
K80+I+G         | -1704.38624     | 3414.77248      | 3414.85581333   | 3425.80274141  
JC+G            | -1711.33981     | 3424.67962      | 3424.6934131    | 3428.3563738   
JC+I+G          | -1711.00397     | 3426.00794      | 3426.04946249   | 3433.3614476   
K80+I           | -1714.73704     | 3433.47408      | 3433.51560249   | 3440.8275876   
JC+I            | -1720.60037     | 3443.20074      | 3443.2145331    | 3446.8774938   
HKY             | -1750.69395     | 3509.3879       | 3509.52727282   | 3524.09491521  
F81             | -1762.60509     | 3531.21018      | 3531.29351333   | 3542.24044141  
K80             | -1797.57931     | 3597.15862      | 3597.1724131    | 3600.8353738   
JC              | -1802.22397     | 3604.44794      | 3604.44794      | 3604.44794     
