Model selection results for subset: 65f5a4867fc68382c7ff91a121b2dd74
Subset alignment stored here: ./analysis/phylofiles/65f5a4867fc68382c7ff91a121b2dd74.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+G           | -1833.08338     | 3676.16676      | 3676.3687802    | 3694.73542403  
HKY+I+G         | -1832.91592     | 3677.83184      | 3678.11562378   | 3700.11423683  
GTR+G           | -1828.03181     | 3674.06362      | 3674.67795447   | 3707.48721525  
HKY+I           | -1839.4713      | 3688.9426       | 3689.1446202    | 3707.51126403  
HKY             | -1843.81933     | 3695.63866      | 3695.77288819   | 3710.49359122  
GTR+I+G         | -1828.03209     | 3676.06418      | 3676.81760466   | 3713.20150806  
GTR+I           | -1836.55785     | 3691.1157       | 3691.73003447   | 3724.53929525  
GTR             | -1840.1218      | 3696.2436       | 3696.73339592   | 3725.95346244  
F81+G           | -2053.77667     | 4115.55334      | 4115.68756819   | 4130.40827122  
SYM+G           | -2049.76014     | 4111.52028      | 4111.80406378   | 4133.80267683  
F81+I+G         | -2053.48973     | 4116.97946      | 4117.1814802    | 4135.54812403  
SYM+I+G         | -2049.27662     | 4112.55324      | 4112.93290102   | 4138.54936964  
F81+I           | -2061.0927      | 4130.1854       | 4130.31962819   | 4145.04033122  
SYM+I           | -2060.47604     | 4132.95208      | 4133.23586378   | 4155.23447683  
F81             | -2096.23455     | 4198.4691       | 4198.54936756   | 4209.61029842  
SYM             | -2091.57263     | 4193.14526      | 4193.3472802    | 4211.71392403  
K80+G           | -2222.60529     | 4449.21058      | 4449.25058      | 4456.63804561  
K80+I+G         | -2222.62664     | 4451.25328      | 4451.33354756   | 4462.39447842  
K80+I           | -2236.07234     | 4476.14468      | 4476.18468      | 4483.57214561  
JC+G            | -2248.19277     | 4498.38554      | 4498.39882904   | 4502.09927281  
JC+I+G          | -2248.17624     | 4500.35248      | 4500.39248      | 4507.77994561  
JC+I            | -2259.92689     | 4521.85378      | 4521.86706904   | 4525.56751281  
K80             | -2268.27543     | 4538.55086      | 4538.56414904   | 4542.26459281  
JC              | -2290.05401     | 4580.10802      | 4580.10802      | 4580.10802     
