Model selection results for subset: 66cca16dc329c94bebe750ed89de5748
Subset alignment stored here: ./analysis/phylofiles/66cca16dc329c94bebe750ed89de5748.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_COI_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -821.26755      | 1660.5351       | 1661.12720526   | 1694.27963687  
HKY+I           | -833.92636      | 1677.85272      | 1678.04752519   | 1696.59968493  
GTR+I+G         | -820.6934       | 1661.3868       | 1662.11287261   | 1698.88072986  
HKY+I+G         | -832.85117      | 1677.70234      | 1677.97595564   | 1700.19869792  
GTR+G           | -824.94514      | 1667.89028      | 1668.48238526   | 1701.63481687  
HKY+G           | -839.95466      | 1689.90932      | 1690.10412519   | 1708.65628493  
SYM+I           | -842.52184      | 1697.04368      | 1697.31729564   | 1719.54003792  
SYM+I+G         | -840.01762      | 1694.03524      | 1694.40125307   | 1720.2809909   
SYM+G           | -845.85177      | 1703.70354      | 1703.97715564   | 1726.19989792  
K80+I           | -863.37434      | 1730.74868      | 1730.78726521   | 1738.24746597  
K80+I+G         | -861.05408      | 1728.10816      | 1728.18557935   | 1739.35633896  
K80+G           | -869.51504      | 1743.03008      | 1743.06866521   | 1750.52886597  
F81+I           | -864.59629      | 1737.19258      | 1737.32202984   | 1752.19015194  
F81+I+G         | -861.75993      | 1733.51986      | 1733.71466519   | 1752.26682493  
F81+G           | -871.08575      | 1750.1715       | 1750.30094984   | 1765.16907194  
JC+I            | -895.26223      | 1792.52446      | 1792.53728051   | 1796.27385299  
JC+I+G          | -892.97839      | 1789.95678      | 1789.99536521   | 1797.45556597  
JC+G            | -901.18658      | 1804.37316      | 1804.38598051   | 1808.12255299  
GTR             | -890.16339      | 1796.32678      | 1796.79891115   | 1826.32192389  
HKY             | -904.44796      | 1816.89592      | 1817.02536984   | 1831.89349194  
SYM             | -907.70821      | 1825.41642      | 1825.61122519   | 1844.16338493  
K80             | -930.21324      | 1862.42648      | 1862.43930051   | 1866.17587299  
F81             | -933.79228      | 1873.58456      | 1873.66197935   | 1884.83273896  
JC              | -960.1654       | 1920.3308       | 1920.3308       | 1920.3308      
