Model selection results for subset: 689faccfd79fe44e4dc6ec7df09ba35e
Subset alignment stored here: ./analysis/phylofiles/689faccfd79fe44e4dc6ec7df09ba35e.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_COI_p3, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+I           | -926.33932      | 1862.67864      | 1862.81817488   | 1883.06685122  
HKY+I+G         | -925.34351      | 1862.68702      | 1862.8828242    | 1887.15287346  
HKY+G           | -931.81265      | 1873.6253       | 1873.76483488   | 1894.01351122  
GTR+I           | -920.81828      | 1859.63656      | 1860.05909521   | 1896.33534019  
GTR+I+G         | -919.60017      | 1859.20034      | 1859.71798706   | 1899.97676243  
F81+I           | -940.24455      | 1888.4891       | 1888.58190742   | 1904.79966897  
GTR+G           | -926.43794      | 1870.87588      | 1871.29841521   | 1907.57466019  
F81+I+G         | -939.78438      | 1889.56876      | 1889.70829488   | 1909.95697122  
F81+G           | -945.3226       | 1898.6452       | 1898.73800742   | 1914.95576897  
HKY             | -954.78291      | 1917.56582      | 1917.65862742   | 1933.87638897  
K80+I           | -963.67124      | 1931.34248      | 1931.37019363   | 1939.49776449  
K80+I+G         | -962.81628      | 1931.63256      | 1931.68811556   | 1943.86548673  
GTR             | -949.45743      | 1914.91486      | 1915.25209653   | 1947.53599795  
K80+G           | -969.49785      | 1942.9957       | 1943.02341363   | 1951.15098449  
SYM+I           | -958.01232      | 1928.02464      | 1928.2204442    | 1952.49049346  
F81             | -967.46287      | 1940.92574      | 1940.98129556   | 1953.15866673  
SYM+I+G         | -956.79575      | 1927.5915       | 1927.85318224   | 1956.1349957   
SYM+G           | -964.05328      | 1940.10656      | 1940.3023642    | 1964.57241346  
JC+I            | -980.42319      | 1962.84638      | 1962.85559659   | 1966.92402224  
JC+I+G          | -980.10755      | 1964.2151       | 1964.24281363   | 1972.37038449  
JC+G            | -985.49902      | 1972.99804      | 1973.00725659   | 1977.07568224  
K80             | -991.9114       | 1985.8228       | 1985.83201659   | 1989.90044224  
SYM             | -986.77369      | 1983.54738      | 1983.68691488   | 2003.93559122  
JC              | -1007.42233     | 2014.84466      | 2014.84466      | 2014.84466     
