Model selection results for subset: 696923cd433ec56f56539a817ba693a5
Subset alignment stored here: ./analysis/phylofiles/696923cd433ec56f56539a817ba693a5.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_COI_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1186.54813     | 2391.09626      | 2391.65010615   | 2425.42343479  
GTR+I           | -1186.93773     | 2391.87546      | 2392.42930615   | 2426.20263479  
GTR+I+G         | -1186.56507     | 2393.13014      | 2393.80915235   | 2431.27144532  
HKY+G           | -1212.33835     | 2434.6767       | 2434.85907082   | 2453.74735266  
HKY+I           | -1213.12383     | 2436.24766      | 2436.43003082   | 2455.31831266  
HKY+I+G         | -1211.30634     | 2434.61268      | 2434.86877756   | 2457.49746319  
F81+G           | -1234.17395     | 2476.3479       | 2476.46911212   | 2491.60442213  
F81+I           | -1234.98268     | 2477.96536      | 2478.08657212   | 2493.22188213  
F81+I+G         | -1233.95953     | 2477.91906      | 2478.10143082   | 2496.98971266  
SYM+G           | -1233.48797     | 2478.97594      | 2479.23203756   | 2501.86072319  
SYM+I+G         | -1231.62583     | 2477.25166      | 2477.59416765   | 2503.95057372  
SYM+I           | -1237.60646     | 2487.21292      | 2487.46901756   | 2510.09770319  
GTR             | -1249.70367     | 2515.40734      | 2515.84905779   | 2545.92038425  
K80+G           | -1281.92918     | 2567.85836      | 2567.89450458   | 2575.48662106  
K80+I           | -1283.61997     | 2571.23994      | 2571.27608458   | 2578.86820106  
K80+I+G         | -1280.75347     | 2567.50694      | 2567.57944755   | 2578.9493316   
HKY             | -1281.12327     | 2570.24654      | 2570.36775212   | 2585.50306213  
JC+G            | -1292.38343     | 2586.76686      | 2586.77887201   | 2590.58099053  
JC+I            | -1294.01427     | 2590.02854      | 2590.04055201   | 2593.84267053  
JC+I+G          | -1291.25726     | 2586.51452      | 2586.55066458   | 2594.14278106  
F81             | -1298.46508     | 2602.93016      | 2603.00266755   | 2614.3725516   
SYM             | -1295.14341     | 2600.28682      | 2600.46919082   | 2619.35747266  
K80             | -1343.59252     | 2689.18504      | 2689.19705201   | 2692.99917053  
JC              | -1353.68418     | 2707.36836      | 2707.36836      | 2707.36836     
