Model selection results for subset: 6dfc1e61e12a765e13c6d8427de07d39
Subset alignment stored here: ./analysis/phylofiles/6dfc1e61e12a765e13c6d8427de07d39.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_CYTB_p2, alineamiento_COI_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2188.95949     | 4397.91898      | 4398.41005143   | 4439.2094821   
GTR+G           | -2194.19702     | 4406.39404      | 4406.79493087   | 4443.55549189  
GTR+I           | -2198.25023     | 4414.50046      | 4414.90135087   | 4451.66191189  
HKY+G           | -2261.50038     | 4533.00076      | 4533.13321033   | 4553.64601105  
HKY+I+G         | -2258.80496     | 4529.60992      | 4529.79576071   | 4554.38422126  
HKY+I           | -2271.97138     | 4553.94276      | 4554.07521033   | 4574.58801105  
SYM+G           | -2285.92172     | 4583.84344      | 4584.02928071   | 4608.61774126  
SYM+I+G         | -2283.58834     | 4581.17668      | 4581.42501703   | 4610.08003147  
SYM+I           | -2294.65156     | 4601.30312      | 4601.48896071   | 4626.07742126  
GTR             | -2311.09965     | 4638.1993       | 4638.5193       | 4671.23170168  
F81+G           | -2333.32463     | 4674.64926      | 4674.73736573   | 4691.16546084  
F81+I+G         | -2332.09466     | 4674.18932      | 4674.32177033   | 4694.83457105  
F81+I           | -2342.35899     | 4692.71798      | 4692.80608573   | 4709.23418084  
SYM             | -2376.26613     | 4762.53226      | 4762.66471033   | 4783.17751105  
HKY             | -2411.37027     | 4830.74054      | 4830.82864573   | 4847.25674084  
K80+G           | -2432.29838     | 4868.59676      | 4868.62307579   | 4876.85486042  
K80+I+G         | -2431.32527     | 4868.65054      | 4868.70328725   | 4881.03769063  
K80+I           | -2443.46313     | 4890.92626      | 4890.95257579   | 4899.18436042  
JC+G            | -2453.25632     | 4908.51264      | 4908.52139274   | 4912.64169021  
JC+I+G          | -2452.56461     | 4909.12922      | 4909.15553579   | 4917.38732042  
JC+I            | -2463.58929     | 4929.17858      | 4929.18733274   | 4933.30763021  
F81             | -2458.708       | 4923.416        | 4923.46874725   | 4935.80315063  
K80             | -2539.36904     | 5080.73808      | 5080.74683274   | 5084.86713021  
JC              | -2558.07613     | 5116.15226      | 5116.15226      | 5116.15226     
