Model selection results for subset: 6e1cc8117031bf497270b25208a53a93
Subset alignment stored here: ./analysis/phylofiles/6e1cc8117031bf497270b25208a53a93.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_WG_p3, alineamiento_WG_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
K80+I           | -771.55274      | 1547.10548      | 1547.13548      | 1555.10335312  
K80+I+G         | -770.85767      | 1547.71534      | 1547.77549038   | 1559.71214969  
HKY+I           | -769.34577      | 1548.69154      | 1548.8426735    | 1568.68622281  
JC+I            | -782.12276      | 1566.24552      | 1566.25549506   | 1570.24445656  
SYM+I           | -767.68887      | 1547.37774      | 1547.58986121   | 1571.37135937  
HKY+I+G         | -768.66508      | 1549.33016      | 1549.54228121   | 1573.32377937  
K80+G           | -781.14221      | 1566.28442      | 1566.31442      | 1574.28229312  
JC+I+G          | -781.93744      | 1567.87488      | 1567.90488      | 1575.87275312  
SYM+I+G         | -767.0928       | 1548.1856       | 1548.4691443    | 1576.17815593  
F81+I           | -779.99078      | 1567.98156      | 1568.08206251   | 1583.97730625  
GTR+I           | -765.77218      | 1549.54436      | 1550.00237527   | 1585.53478906  
HKY+G           | -779.0649       | 1568.1298       | 1568.2809335    | 1588.12448281  
JC+G            | -791.20246      | 1584.40492      | 1584.41489506   | 1588.40385656  
SYM+G           | -776.6285       | 1565.257        | 1565.46912121   | 1589.25061937  
F81+I+G         | -779.79112      | 1569.58224      | 1569.7333735    | 1589.57692281  
GTR+I+G         | -765.19131      | 1550.38262      | 1550.94384449   | 1590.37198562  
K80             | -797.24419      | 1596.48838      | 1596.49835506   | 1600.48731656  
F81+G           | -789.03746      | 1586.07492      | 1586.17542251   | 1602.07066625  
GTR+G           | -774.62777      | 1567.25554      | 1567.71355527   | 1603.24596906  
JC              | -807.1826       | 1614.3652       | 1614.3652       | 1614.3652      
HKY             | -795.19914      | 1598.39828      | 1598.49878251   | 1614.39402625  
SYM             | -792.58098      | 1595.16196      | 1595.3130935    | 1615.15664281  
F81             | -805.00915      | 1616.0183       | 1616.07845038   | 1628.01510969  
GTR             | -790.52426      | 1597.04852      | 1597.41400223   | 1629.0400125   
