Model selection results for subset: 71345e2ffdd1816b327f7c656e9954b7
Subset alignment stored here: ./analysis/phylofiles/71345e2ffdd1816b327f7c656e9954b7.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_16S_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -971.61625      | 1963.2325       | 1963.96097682   | 2000.69453191  
GTR+G           | -975.55691      | 1969.11382      | 1969.70787941   | 2002.82964871  
GTR+I           | -976.61383      | 1971.22766      | 1971.82171941   | 2004.94348871  
HKY+I+G         | -991.69269      | 1995.38538      | 1995.6598898    | 2017.86259914  
F81+I+G         | -995.71339      | 2001.42678      | 2001.62221974   | 2020.15779595  
HKY+G           | -996.11885      | 2002.2377       | 2002.43313974   | 2020.96871595  
F81+G           | -999.24698      | 2006.49396      | 2006.62383013   | 2021.47877276  
HKY+I           | -996.5777       | 2003.1554       | 2003.35083974   | 2021.88641595  
F81+I           | -999.53802      | 2007.07604      | 2007.20591013   | 2022.06085276  
SYM+I+G         | -1008.52317     | 2031.04634      | 2031.41355311   | 2057.26976233  
SYM+G           | -1012.58977     | 2037.17954      | 2037.4540498    | 2059.65675914  
SYM+I           | -1014.45947     | 2040.91894      | 2041.1934498    | 2063.39615914  
GTR             | -1031.01147     | 2078.02294      | 2078.49662421   | 2107.99256552  
JC+I+G          | -1049.20336     | 2102.40672      | 2102.44542968   | 2109.89912638  
JC+G            | -1052.1019      | 2106.2038       | 2106.21666174   | 2109.95000319  
JC+I            | -1052.45358     | 2106.90716      | 2106.92002174   | 2110.65336319  
K80+I+G         | -1048.52015     | 2103.0403       | 2103.1179699    | 2114.27890957  
K80+G           | -1051.64019     | 2107.28038      | 2107.31908968   | 2114.77278638  
K80+I           | -1052.01425     | 2108.0285       | 2108.06720968   | 2115.52090638  
F81             | -1055.00043     | 2116.00086      | 2116.0785299    | 2127.23946957  
HKY             | -1053.20906     | 2114.41812      | 2114.54799013   | 2129.40293276  
SYM             | -1065.42708     | 2140.85416      | 2141.04959974   | 2159.58517595  
JC              | -1104.59246     | 2209.18492      | 2209.18492      | 2209.18492     
K80             | -1104.23965     | 2210.4793       | 2210.49216174   | 2214.22550319  
