Model selection results for subset: 753662fc675bba7ceac6e69479642d3f
Subset alignment stored here: ./analysis/phylofiles/753662fc675bba7ceac6e69479642d3f.phy
This subset contains the following data_blocks: (alineamiento_16S_p1, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -804.73246      | 1627.46492      | 1628.06094649   | 1661.15194869  
GTR+I+G         | -801.98758      | 1623.97516      | 1624.70605701   | 1661.40519188  
GTR+G           | -807.95768      | 1633.91536      | 1634.51138649   | 1667.60238869  
F81+I+G         | -822.25811      | 1654.51622      | 1654.71229843   | 1673.23123594  
F81+I           | -825.58254      | 1659.16508      | 1659.29537316   | 1674.13709275  
HKY+I+G         | -821.97483      | 1655.94966      | 1656.22506984   | 1678.40767913  
HKY+I           | -825.07048      | 1660.14096      | 1660.33703843   | 1678.85597594  
F81+G           | -831.94324      | 1671.88648      | 1672.01677316   | 1686.85849275  
HKY+G           | -831.31034      | 1672.62068      | 1672.81675843   | 1691.33569594  
SYM+I+G         | -834.44025      | 1682.8805       | 1683.24892105   | 1709.08152231  
SYM+I           | -838.3806       | 1688.7612       | 1689.03660984   | 1711.21921913  
SYM+G           | -840.06636      | 1692.13272      | 1692.40812984   | 1714.59073913  
GTR             | -861.77985      | 1739.5597       | 1740.03494752   | 1769.5037255   
JC+I+G          | -879.05175      | 1762.1035       | 1762.14233495   | 1769.58950638  
JC+I            | -882.4014       | 1766.8028       | 1766.81570323   | 1770.54580319  
K80+I+G         | -876.98835      | 1759.9767       | 1760.05462208   | 1771.20570956  
K80+I           | -879.87835      | 1763.7567       | 1763.79553495   | 1771.24270638  
JC+G            | -887.2647       | 1776.5294       | 1776.54230323   | 1780.27240319  
K80+G           | -884.70667      | 1773.41334      | 1773.45217495   | 1780.89934638  
F81             | -891.02291      | 1788.04582      | 1788.12374208   | 1799.27482956  
HKY             | -889.73222      | 1787.46444      | 1787.59473316   | 1802.43645275  
SYM             | -890.08405      | 1790.1681       | 1790.36417843   | 1808.88311594  
JC              | -940.54924      | 1881.09848      | 1881.09848      | 1881.09848     
K80             | -937.95607      | 1877.91214      | 1877.92504323   | 1881.65514319  
