Model selection results for subset: 75ca7e478554a17146b26b7338e5868a
Subset alignment stored here: ./analysis/phylofiles/75ca7e478554a17146b26b7338e5868a.phy
This subset contains the following data_blocks: (alineamiento_WG_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
JC+I            | -198.42533      | 398.85066       | 398.88096303    | 401.7484998    
K80+I           | -197.8828       | 399.7656        | 399.857203053   | 405.5612796    
JC+I+G          | -198.35082      | 400.70164       | 400.793243053   | 406.4973196    
F81+I           | -195.23233      | 398.46466       | 398.774737519   | 410.0560192    
K80+I+G         | -197.76482      | 401.52964       | 401.714255385   | 410.2231594    
HKY+I           | -194.55844      | 399.11688       | 399.58563       | 413.606079     
F81+I+G         | -195.15854      | 400.31708       | 400.78583       | 414.806279     
JC+G            | -205.27391      | 412.54782       | 412.57812303    | 415.4456598    
JC              | -208.10138      | 416.20276       | 416.20276       | 416.20276      
K80+G           | -204.07431      | 412.14862       | 412.240223053   | 417.9442996    
HKY+I+G         | -194.4334       | 400.8668        | 401.528217323   | 418.2538388    
K80             | -206.88896      | 415.77792       | 415.80822303    | 418.6757598    
SYM+I           | -195.03098      | 402.06196       | 402.723377323   | 419.4489988    
F81+G           | -202.07507      | 412.15014       | 412.460217519   | 423.7414992    
SYM+I+G         | -194.92991      | 403.85982       | 404.748708889   | 424.1446986    
F81             | -204.90307      | 415.80614       | 415.990755385   | 424.4996594    
HKY+G           | -200.81065      | 411.6213        | 412.09005       | 426.110499     
HKY             | -203.6299       | 415.2598        | 415.569877519   | 426.8511592    
GTR+I           | -191.76765      | 401.5353        | 402.986912903   | 427.6158582    
SYM+G           | -199.89866      | 411.79732       | 412.458737323   | 429.1843588    
SYM             | -202.79584      | 415.59168       | 416.06043       | 430.080879     
GTR+I+G         | -191.75072      | 403.50144       | 405.290057886   | 432.479838     
GTR+G           | -196.81408      | 411.62816       | 413.079772903   | 437.7087182    
GTR             | -199.65213      | 415.30426       | 416.45626       | 438.4869784    
